Percentage Depth Doses,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization Chamber,,,,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,,,,
Depth [cm],3x3cm2,4x4cm2,6x6cm2,8x8cm2,10x10cm2,20x20cm2,30x30cm2,40x40cm2
0,40.5,40.9,42.4,43.7,44.9,50.6,53.8,54.5
0.1,44.7,45.4,46.7,47.8,48.919999999999995,54.55,57.43333333333333,58.275
0.2,52.349999999999994,52.775,53.925000000000004,54.875,55.45,61.125,63.3,64.025
0.3,61.4,61,62.099999999999994,63.5,64.075,68.54,70.53333333333333,71
0.4,68.85,68.25,69.1,70.4,71.10000000000001,75.06,76.62,76.75
0.5,74.325,74.4,74.95,75.55,76.7,79.8,81.2,81.75
0.6,79.02499999999999,78.9,79.5,80.32,80.96666666666667,83.75,85,85.2
0.7,83.075,83,83.45,83.8,84.66000000000001,87,88.1,88.26666666666667
0.8,86.375,86.05,86.5,87.1,87.55,89.75,90.7,90.8
0.9,89.22500000000001,89,89.25,89.6,90,91.9,92.7,92.77499999999999
1,91.56,90.96,91.4,91.7,92.05000000000001,93.7,94.4,94.4
1.1,93.35000000000001,92.825,93.14999999999999,93.5,93.9,95.2,95.67999999999999,95.7
1.2,95.02000000000001,94.45,94.65,94.9,95.25,96.4,96.75999999999999,96.8
1.3,96.2,95.775,95.975,96.15,96.47500000000001,97.3,97.625,97.7
1.4,97.1,96.80000000000001,97,97.2,97.4,98.05,98.35,98.35000000000001
1.5,98.1,97.8,97.9,98.02499999999999,98.075,98.66666666666666,98.925,98.9
1.6,98.75,98.45,98.52499999999999,98.65,98.75,99.25,99.325,99.30000000000001
1.7,99.25999999999999,99,99,99.19999999999999,99.3,99.5,99.63333333333334,99.6
1.8,99.57499999999999,99.475,99.44,99.56666666666666,99.56666666666666,99.825,99.9,99.85
1.9,99.8,99.625,99.75,99.8,99.8,99.9,99.95,99.93333333333334
2,99.9,99.85,99.9,99.9,99.9,100,100,100
2.1,100,100,100,100,100,100,100,100
2.2,100,100,100,100,100,100,100,100
2.3,100,100,100,100,100,99.92,99.86,99.9
2.4,99.83333333333333,99.875,100,99.9,99.9,99.825,99.675,99.7
2.5,99.6,99.7,99.825,99.825,99.8,99.625,99.5,99.5
2.6,99.3,99.475,99.6,99.57499999999999,99.625,99.375,99.22500000000001,99.325
2.7,99.05,99.22500000000001,99.375,99.325,99.3,99.125,99,99.08
2.8,98.72500000000001,98.975,99.025,99,99.025,98.875,98.69999999999999,98.85
2.9,98.375,98.625,98.75999999999999,98.80000000000001,98.77499999999999,98.53999999999999,98.4,98.55
3,97.92500000000001,98.2,98.45,98.5,98.45,98.2,98.15,98.2
3.1,97.57499999999999,97.85,98.1,98.1,98.2,97.95,97.8,97.95
3.2,97.14999999999999,97.5,97.75,97.8,97.75,97.5,97.46000000000001,97.6
3.3,96.6,97,97.4,97.42,97.5,97.25,97.1,97.23333333333333
3.4,96.30000000000001,96.66666666666667,96.9,97.025,97.1,96.9,96.825,96.95
3.5,95.8,96.1,96.5,96.625,96.65,96.56,96.475,96.6
3.6,95.35,95.75,96.05,96.22500000000001,96.25,96.14999999999999,96.14999999999999,96.16666666666666
3.7,94.8,95.3,95.64,95.8,95.85000000000001,95.77499999999999,95.75,95.83333333333333
3.8,94.4,94.76666666666667,95.35000000000001,95.35,95.42500000000001,95.45,95.35,95.46666666666667
3.9,93.9,94.35,94.85,94.93333333333334,95.05,95.06,94.95,95.05
4,93.45,93.85000000000001,94.35000000000001,94.55,94.64999999999999,94.55,94.6,94.66666666666667
4.1,92.85,93.36666666666667,93.95,94.1,94.2,94.16666666666666,94.25,94.33333333333333
4.2,92.35,92.9,93.45,93.7,93.80000000000001,93.88,93.8,94
4.3,91.85000000000001,92.43333333333334,92.98,93.2,93.4,93.4,93.5,93.5
4.4,91.35,91.86666666666667,92.6,92.83333333333333,92.9,93.05,93.1,93.2
4.5,90.86666666666667,91.5,92.06666666666666,92.375,92.55,92.6,92.72,92.8
4.6,90.42,90.96666666666667,91.65,91.95,92.06,92.25,92.33333333333333,92.42500000000001
4.7,89.83333333333333,90.5,91.23333333333333,91.5,91.63333333333333,91.86666666666667,91.92500000000001,92.03333333333333
4.8,89.5,90.05,90.75,91.08,91.25,91.5,91.525,91.65
4.9,88.8,89.55,90.3,90.66,90.825,91.125,91.2,91.325
5,88.45,89.06666666666666,89.85000000000001,90.25,90.375,90.675,90.75,90.95
5.1,87.9,88.6,89.35,89.8,89.98,90.3,90.4,90.6
5.2,87.46666666666667,88.1,88.94999999999999,89.32000000000001,89.53999999999999,89.93333333333334,90.05,90.2
5.3,86.975,87.64999999999999,88.4,88.95,89.2,89.5,89.55,89.75
5.4,86.5,87.2,88,88.46666666666667,88.69999999999999,89.1,89.25,89.43333333333334
5.5,86.1,86.75,87.6,88.1,88.3,88.825,88.95,89.03333333333333
5.6,85.58,86.33333333333334,87.22500000000001,87.6,87.95,88.36,88.6,88.7
5.7,85.05,85.83333333333334,86.73333333333333,87.2,87.525,87.95,88.1,88.34
5.8,84.65,85.28,86.35000000000001,86.83333333333333,87.15,87.6,87.69999999999999,87.85
5.9,84.12,84.9,85.75,86.3,86.74000000000001,87.30000000000001,87.4,87.5
6,83.6,84.43333333333334,85.4,85.85,86.27499999999999,86.7,86.975,87.1
6.1,83.19999999999999,83.97500000000001,85,85.55,85.92500000000001,86.45,86.6,86.80000000000001
