Diagonal Profiles,,,,,
Open field,,,,,
SSD=100cm,,,,,
Field Size=40x40cm2,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
,Dose[%],,,,
Off axis position [cm],Depth:3 cm,Depth:5 cm,Depth:10 cm,Depth:20 cm,Depth:30 cm
-43.6,,,,,4.3
-43.5,,,,,4.3
-43.4,,,,,4.387979797979796
-43.3,,,,,4.4
-43.2,,,,,4.4383254716981115
-43.1,,,,,4.5
-43,,,,,4.5
-42.9,,,,,4.6
-42.8,,,,,4.6
-42.7,,,,,4.680808080808081
-42.6,,,,,4.7
-42.5,,,,,4.711414141414141
-42.4,,,,,4.8
-42.3,,,,,4.848998822143699
-42.2,,,,,4.9
-42.1,,,,,4.9
-42,,,,,4.9592929292929275
-41.9,,,,,5
-41.8,,,,,5.053669319186562
-41.7,,,,,5.142049469964664
-41.6,,,,,5.2
-41.5,,,,,5.221515151515153
-41.4,,,,,5.319717064544651
-41.3,,,,,5.4
-41.2,,,,,5.4
-41.1,,,,,5.472413793103448
-41,,,,,5.554045561665358
-40.9,,,,3.3,5.641919191919193
-40.8,,,,3.3,5.73338570306363
-40.7,,,,3.3512367491166084,5.8
-40.6,,,,3.4,5.801855123674913
-40.5,,,,3.4,5.8901943462897535
-40.4,,,,3.48979797979798,5.978603006189212
-40.3,,,,3.5,6
-40.2,,,,3.5347474747474736,6.049253731343283
-40.1,,,,3.6,6.131272084805652
-40,,,,3.6,6.217452830188678
-39.9,,,,3.6607311320754694,6.296069182389936
-39.8,,,,3.7,6.374626865671643
-39.7,,,,3.7,6.46838383838384
-39.6,,,,3.747641509433961,6.553967007069914
-39.5,,,,3.8,6.636604774535809
-39.4,,,,3.8799435028248586,6.722230950510606
-39.3,,,,3.9,6.800884173297965
-39.2,,,,3.935689045936396,6.889301503094608
-39.1,,,,4,6.96904948939513
-39,,,,4.065629420084866,7.047604084838964
-38.9,,,,4.1,7.129442970822282
-38.8,,,,4.140448113207548,7.215868028279654
-38.7,,,,4.2,7.294422623723485
-38.6,,,,4.3,7.382067137809189
-38.5,,,,4.309090909090907,7.4626572327044025
-38.4,,,,4.4,7.553030303030303
-38.3,,,,4.41297169811321,7.647261484098942
-38.2,,,,4.5,7.735632183908047
-38.1,,,2.3,4.513232323232321,7.827474747474747
-38,,,2.3,4.614242424242426,7.94430479183032
-37.9,,,2.4,4.7,8.100795755968171
-37.8,,,2.4,4.716262626262626,8.189213085764809
-37.7,,,2.4,4.8,8.268970934799686
-37.6,,,2.421319199057713,4.846868686868686,8.39505106048704
-37.5,,,2.5,4.947878787878786,8.529354553492485
-37.4,,,2.5,5,8.617771883289127
-37.3,,,2.535555555555555,5.049898989898992,8.714141414141412
-37.2,,,2.6,5.150909090909092,8.909422850412248
-37.1,,,2.6,5.2519191919191925,9.020424403183023
-37,,,2.6101010101010123,5.3,9.11571091908877
-36.9,,,2.7,5.379599056603774,9.272820109976434
-36.8,,,2.7,5.483535353535353,9.373121131741824
-36.7,,1.848645465253241,2.7131313131313126,5.5,9.509347996857818
-36.6,,1.9,2.8,5.614141414141413,9.637367491166078
-36.5,,1.9,2.8,5.715151515151514,9.745754716981132
-36.4,,1.9,2.826613616268788,5.816161616161619,9.901919191919193
-36.3,,1.9,2.9,5.9,10.00512367491166
-36.2,,1.9,2.9284452296819787,5.918181818181819,10.181802120141342
-36.1,1.7868458274398842,1.990606060606059,3,6.019191919191918,10.381212121212117
-36,1.8,2,3,6.128288543140027,10.583232323232318
-35.9,1.8,2,3.02121212121212,6.2,10.681078691423519
-35.8,1.8,2,3.1,6.265151515151513,10.823487824037704
-35.7,1.8,2.094646464646465,3.123232323232325,6.366161616161617,11.020895522388058
-35.6,1.8712643678160923,2.1,3.2,6.467171717171719,11.224242424242425
-35.5,1.9,2.1,3.212838633686688,6.568181818181818,11.344208664898321
-35.4,1.9,2.1,3.3,6.680683156654889,11.521043324491604
-35.3,1.9,2.1987878787878787,3.3364279398762147,6.798584905660377,11.69787798408488
-35.2,1.9830388692579497,2.2,3.4,6.9,11.961837455830388
-35.1,2,2.2,3.450943396226416,6.957979797979799,12.134591194968554
-35,2,2.287474747474745,3.5,7.058989898989899,12.3547703180212
-34.9,2,2.3,3.56498673740053,7.152473498233214,12.579929266136164
-34.8,2.1,2.3,3.6,7.29333333333333,12.785070671378097
-34.7,2.1,2.4,3.6890330188679226,7.447676767676768,13.044575471698117
-34.6,2.1051282051282048,2.4051282051282046,3.8,7.548686868686871,13.280424528301882
-34.5,2.193545534924847,2.4935455349248468,3.8,7.649696969696971,13.543021201413431
-34.4,2.2,2.5,3.8259128386336885,7.801414141414143,13.877630415561452
-34.3,2.2088888888888913,2.5,3.9,7.945269672855879,14.198181818181816
-34.2,2.3,2.509898989898991,3.967070707070705,8.044929245283019,14.593545534924848
-34.1,2.3,2.6,4.0793875147232015,8.175282485875705,15.00934799685782
-34,2.3119191919191913,2.6119191919191915,4.1,8.283417593528819,15.41484098939929
-33.9,2.4,2.7,4.198686868686871,8.46888888888889,15.890566037735837
-33.8,2.4,2.7139534883720913,4.299696969696971,8.574734982332155,16.597879858657226
