Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=5cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-25.9,,,,,,,,4
-25.8,,,,,,,,4.1
-25.7,,,,,,,,4.171428571428573
-25.6,,,,,,,,4.314285714285717
-25.5,,,,,,,,4.4
-25.4,,,,,,,,4.5
-25.3,,,,,,,,4.6
-25.2,,,,,,,,4.7
-25.1,,,,,,,,4.839999999999998
-25,,,,,,,,4.9
-24.9,,,,,,,,5.057142857142856
-24.8,,,,,,,,5.2
-24.7,,,,,,,,5.337500000000001
-24.6,,,,,,,,5.4624999999999995
-24.5,,,,,,,,5.6
-24.4,,,,,,,,5.737500000000001
-24.3,,,,,,,,5.862499999999999
-24.2,,,,,,,,5.987500000000001
-24.1,,,,,,,,6.2124999999999995
-24,,,,,,,,6.366666666666669
-23.9,,,,,,,,6.55
-23.8,,,,,,,,6.675000000000001
-23.7,,,,,,,,6.9
-23.6,,,,,,,,7.049999999999998
-23.5,,,,,,,,7.257142857142856
-23.4,,,,,,,,7.5
-23.3,,,,,,,,7.666666666666668
-23.2,,,,,,,,7.924999999999999
-23.1,,,,,,,,8.149999999999999
-23,,,,,,,,8.424999999999999
-22.9,,,,,,,,8.675000000000002
-22.8,,,,,,,,8.911111111111111
-22.7,,,,,,,,9.225000000000003
-22.6,,,,,,,,9.557142857142855
-22.5,,,,,,,,9.950000000000003
-22.4,,,,,,,,10.32857142857143
-22.3,,,,,,,,10.75714285714286
-22.2,,,,,,,,11.371428571428574
-22.1,,,,,,,,11.999999999999993
-22,,,,,,,,12.725000000000003
-21.9,,,,,,,,13.800000000000008
-21.8,,,,,,,,14.98749999999999
-21.7,,,,,,,,16.537500000000005
-21.6,,,,,,,,18.542857142857134
-21.5,,,,,,,,21.4666666666667
-21.4,,,,,,,,25.7
-21.3,,,,,,,,32.48000000000009
-21.2,,,,,,,,40.53333333333324
-21.1,,,,,,,,50.428571428571466
-21,,,,,,,,60.499999999999936
-20.9,,,,,,,,70.06666666666676
-20.8,,,,,,,,78.67499999999998
-20.7,,,,,,,4.022222222222221,85.90000000000002
-20.6,,,,,,,4.142857142857143,90.95714285714288
-20.5,,,,,,,4.2,94.12857142857143
-20.4,,,,,,,4.3,96.3
-20.3,,,,,,,4.4,97.77142857142857
-20.2,,,,,,,4.480000000000001,98.9875
-20.1,,,,,,,4.566666666666668,99.9
-20,,,,,,,4.7,100.48
-19.9,,,,,,,4.8,101.14285714285715
-19.8,,,,,,,4.857142857142857,101.65
-19.7,,,,,,,5,102.2
-19.6,,,,,,,5.116666666666665,102.57142857142857
-19.5,,,,,,,5.2,102.88
-19.4,,,,,,,5.35,103.22857142857143
-19.3,,,,,,,5.428571428571428,103.38333333333334
-19.2,,,,,,,5.583333333333334,103.65
-19.1,,,,,,,5.742857142857144,103.8
-19,,,,,,,5.8,103.91666666666667
-18.9,,,,,,,5.966666666666669,104.07142857142857
-18.8,,,,,,,6.133333333333332,104.1
-18.7,,,,,,,6.3,104.2
-18.6,,,,,,,6.4,104.2
-18.5,,,,,,,6.557142857142855,104.2
-18.4,,,,,,,6.783333333333334,104.2
-18.3,,,,,,,6.9,104.2
-18.2,,,,,,,7.039999999999997,104.2
-18.1,,,,,,,7.3166666666666655,104.2
-18,,,,,,,7.5,104.2
-17.9,,,,,,,7.6833333333333345,104.2
-17.8,,,,,,,7.866666666666668,104.25
-17.7,,,,,,,8.166666666666668,104.3
-17.6,,,,,,,8.350000000000001,104.3
-17.5,,,,,,,8.666666666666664,104.4
-17.4,,,,,,,8.9,104.42857142857143
-17.3,,,,,,,9.3,104.5
-17.2,,,,,,,9.6,104.51666666666667
-17.1,,,,,,,10.07142857142857,104.6
-17,,,,,,,10.549999999999997,104.7
-16.9,,,,,,,11.133333333333336,104.8
-16.8,,,,,,,11.8,104.9
-16.7,,,,,,,12.683333333333328,104.94285714285715
-16.6,,,,,,,13.683333333333339,105
-16.5,,,,,,,14.928571428571434,105
-16.4,,,,,,,16.599999999999987,105.04285714285714
-16.3,,,,,,,18.9,105.1
-16.2,,,,,,,22.1666666666667,105.1
-16.1,,,,,,,27.266666666666605,105.2
-16,,,,,,,34.6,105.25714285714285
-15.9,,,,,,,43.33333333333343,105.3
-15.8,,,,,,,52.65999999999993,105.3
-15.7,,,,,,,63.3,105.3
-15.6,,,,,,,72.22000000000004,105.3
-15.5,,,,,,2.933333333333333,80.8,105.3
-15.4,,,,,,3,87.05000000000003,105.2625
-15.3,,,,,,3.1,91.2,105.2
-15.2,,,,,,3.1,94.1,105.2
-15.1,,,,,,3.2,95.95714285714287,105.2
-15,,,,,,3.3,97.34285714285714,105.1
-14.9,,,,,,3.324999999999998,98.5,105.1
-14.8,,,,,,3.460000000000002,99.3,105.1
-14.7,,,,,,3.5,99.96666666666667,105.1
-14.6,,,,,,3.6,100.6,105.1
-14.5,,,,,,3.7,101.05714285714285,105.1
-14.4,,,,,,3.8,101.46000000000001,105.1
-14.3,,,,,,3.9,101.775,105.1
-14.2,,,,,,4,102,105.1
-14.1,,,,,,4.1,102.21666666666667,105.1
-14,,,,,,4.1800000000000015,102.46666666666667,105.1
-13.9,,,,,,4.280000000000001,102.65,105.1
-13.8,,,,,,4.4,102.8,105.1
-13.7,,,,,,4.5,102.96000000000001,105.1
-13.6,,,,,,4.633333333333333,103.1,105.1
-13.5,,,,,,4.780000000000001,103.2,105.1
-13.4,,,,,,4.9,103.3,105.13333333333333
-13.3,,,,,,5.1,103.4,105.2
