Table of contents,,,,,,,,,
1. Data tables,,,,,,,,2. Plots,
,Open field,,,,,,,,Open Field
,Open Field Depth Doses,,,,,,,,Wedge 15
,Open Field Profiles at 3cm,,,,,,,,Wedge 30 Plots
,Open Field Profiles at 5cm,,,,,,,,Wedge 45 Plots
,Open Field Profiles at 10cm,,,,,,,,Wedge 60 Plots
,Open Field Profiles at 20cm,,,,,,,,
,Open Field Profiles at 30cm,,,,,,,,
,Diagonal Profiles,,,,,,,,
,Open field Output Factors,,,,,,,,
,Wedge 15,,,,,,,,
,Wedge 15 Depth Doses,,,,,,,,
,SSD80 Wedge 15 Depth Doses,,,,,,,,
,SSD120 Wedge 15 Depth Doses,,,,,,,,
,Wedge 15 Lateral Profiles,,,,,,,,
,Wedge 15 Longitudinal Profiles,,,,,,,,
,Wedge 15 Output Factors,,,,,,,,
,Wedge 30,,,,,,,,
,Wedge 30 Depth Doses,,,,,,,,
,SSD80 Wedge 30 Depth Doses,,,,,,,,
,SSD120 Wedge 30 Depth Doses,,,,,,,,
,Wedge 30 Lateral Profiles,,,,,,,,
,Wedge 30 Longitudinal Profiles,,,,,,,,
,Wedge 30 Output Factors,,,,,,,,
,Wedge 45,,,,,,,,
,Wedge 45 Depth Doses,,,,,,,,
,SSD80 Wedge 45 Depth Doses,,,,,,,,
,Wedge 45 Longitudinal Profiles,,,,,,,,
,Wedge 45 Lateral Profiles,,,,,,,,
,Wedge 45 Longitudinal Profiles,,,,,,,,
,Wedge 45 Output Factors,,,,,,,,
,Wedge 60,,,,,,,,
,Wedge 60 Depth Doses,,,,,,,,
,SSD80 Wedge 60 Depth Doses,,,,,,,,
,SSD120 Wedge 60 Depth Doses,,,,,,,,
,Wedge 60 Lateral Profiles,,,,,,,,
,Wedge 60 Longitudinal Profiles,,,,,,,,
,Wedge 60 Output Factors,,,,,,,,
