Output factors,,,,,,,,,
Wedge 15 R,,,,,,,,,
SSD=95cm,,,,,,,,,
Depth=5cm,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,
,,Field size X [cm],,,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0,30.0
,3.0,0.871,0.888,0.897,0.905,0.911,0.916,0.919,0.922
,4.0,0.89,0.91,0.92,0.931,0.939,0.945,0.949,0.953
,5.0,0.9,0.922,0.934,0.947,0.956,0.963,0.968,0.974
,7.0,0.912,0.937,0.951,0.967,0.978,0.988,0.995,1.002
,10.0,0.922,0.949,0.965,0.985,1.0,1.013,1.023,1.033
,15.0,0.93,0.96,0.978,1.001,1.02,1.038,1.051,1.065
,20.0,0.935,0.966,0.985,1.01,1.031,1.052,1.068,1.086
,30.0,0.941,0.973,0.993,1.021,1.045,1.071,1.091,1.114
,40.0,0.944,0.977,0.998,1.027,1.054,1.082,1.104,1.129
