Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=100cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,23.4,30.8,44,55.9,61.6
0.1,26.86,34.32,47.66,59.800000000000004,65.78
0.2,33.06,40.239999999999995,53.2,64.88,71.26
0.3,41.82,48.62,60.7,71.32000000000001,77.16
0.4,49.300000000000004,55.48,66.94,76.86,81.78
0.5,56.24,62.04,72.56,81.3,85.74
0.6,62.04,67.42,77.10000000000001,85.18,88.84
0.7,67.17999999999999,72.06,80.8,88.18,91.36
0.8,71.54,76.06,84.08,90.62,93.3
0.9,75.42,79.4,86.84,92.68,94.98
1,78.9,82.46,89.32,94.28,96.26
1.1,81.94,85.12,91.24,95.72,97.34
1.2,84.44,87.36,92.92,96.86,98.08
1.3,86.76,89.56,94.38000000000001,97.67999999999999,98.72
1.4,88.69999999999999,91.28,95.5,98.38,99.24000000000001
1.5,90.64,92.62,96.5,99.02,99.56
1.6,92.16,94.12,97.34,99.42,99.86
1.7,93.58,95.26,97.97999999999999,99.66,99.96000000000001
1.8,94.56,96.06,98.48,99.9,100
1.9,95.74,96.92,98.92,100,100
2,96.72,97.62,99.38,100,99.96000000000001
2.1,97.36,98.12,99.64,100,99.86
2.2,97.92,98.62,99.74,99.96000000000001,99.72
2.3,98.56,99.06,99.9,99.86,99.52
2.4,99.08,99.44,100,99.76,99.36
2.5,99.44,99.64,100,99.56,99.12
2.6,99.67999999999999,99.8,100,99.36,98.82000000000001
2.7,99.84,99.94,99.9,99.06,98.52
2.8,99.9,100,99.86,98.86,98.26
2.9,99.9,100,99.66,98.62,98.02
3,99.94,100,99.46000000000001,98.36,97.66
3.1,100,99.9,99.3,98.06,97.42
3.2,99.96000000000001,99.8,99.1,97.76,97.02
3.3,99.9,99.7,98.86,97.52,96.76
3.4,99.76,99.6,98.52,97.16,96.42
3.5,99.56,99.46000000000001,98.26,96.8,96.06
3.6,99.36,99.16,98.02,96.56,95.76
3.7,99.12,98.92,97.76,96.17999999999999,95.42
3.8,98.86,98.66,97.46000000000001,95.82000000000001,95.08
3.9,98.62,98.46000000000001,97.06,95.56,94.76
4,98.32000000000001,98.16,96.76,95.22,94.38
4.1,98.02,97.82000000000001,96.52,94.82000000000001,94.02
4.2,97.62,97.56,96.12,94.56,93.66
4.3,97.22,97.32000000000001,95.82000000000001,94.16,93.36
4.4,96.96000000000001,97.02,95.46000000000001,93.82000000000001,93.02
4.5,96.66,96.52,95.12,93.52,92.66
4.6,96.26,96.22,94.86,93.16,92.32000000000001
4.7,95.92,95.82000000000001,94.38,92.86,92.06
4.8,95.52,95.52,94.06,92.52,91.67999999999999
4.9,94.97999999999999,95.16,93.72,92.12,91.32000000000001
5,94.56,94.78,93.32000000000001,91.78,90.96000000000001
5.1,94.28,94.42,93.02,91.46000000000001,90.66
5.2,93.8,94.03333333333333,92.76666666666667,91.16666666666667,90.33333333333334
5.3,93.46,93.66,92.36,90.78,90.06
5.4,93.16,93.28,92.06,90.46,89.68
5.5,92.66,92.98,91.75999999999999,90.16,89.34
5.6,92.25999999999999,92.66,91.38000000000001,89.68,88.88000000000001
5.7,91.86,92.25999999999999,91.06,89.46,88.68
5.8,91.46,91.96,90.68,89.08,88.38000000000001
5.9,90.96,91.56,90.36,88.75999999999999,87.98
6,90.56,91.28,90.06,88.46,87.75999999999999
6.1,90.25999999999999,90.86,89.75999999999999,88.06,87.36
6.2,89.94,90.46,89.36,87.75999999999999,86.98
6.3,89.38000000000001,90.16,88.96,87.48,86.78
6.4,89.18,89.75999999999999,88.58,87.18,86.48
6.5,88.76,89.46000000000001,88.36000000000001,86.86000000000001,86.16000000000001
6.6,88.36000000000001,88.98,87.98,86.58,85.78
6.7,88.06,88.68,87.66000000000001,86.26,85.48
6.8,87.53999999999999,88.36000000000001,87.28,85.96000000000001,85.16000000000001
6.9,87.06,87.96000000000001,87.06,85.64,84.78
7,86.68,87.66000000000001,86.66000000000001,85.28,84.56
7.1,86.36000000000001,87.36000000000001,86.36000000000001,84.98,84.26
7.2,85.96000000000001,87.06,85.98,84.66000000000001,83.98
7.3,85.48,86.72,85.76,84.38000000000001,83.74
7.4,85.14,86.14,85.46000000000001,84.16000000000001,83.38000000000001
7.5,84.78,85.76,85.14,83.78,83.06
7.6,84.36000000000001,85.46000000000001,84.78,83.48,82.78
7.7,84.06,85.08,84.48,83.18,82.48
7.8,83.68,84.88000000000001,84.18,82.86000000000001,82.16000000000001
7.9,83.38000000000001,84.58,83.88000000000001,82.56,81.86000000000001
8,83.03999999999999,84.08,83.56,82.18,81.58
8.1,82.56,83.86000000000001,83.16000000000001,81.98,81.18
8.2,82.16000000000001,83.48,82.88000000000001,81.66000000000001,80.88000000000001
8.3,81.76,83.16000000000001,82.56,81.38000000000001,80.66000000000001
8.4,81.46000000000001,82.78,82.28,81.06,80.46000000000001
8.5,80.98,82.48,82.06,80.68,80.06
8.6,80.56,82.16000000000001,81.68,80.38000000000001,79.76
8.7,80.3,81.9,81.4,80.1,79.5
8.8,80,81.5,81,79.8,79.1
8.9,79.7,81.2,80.7,79.5,79
9,79.2,80.8,80.4,79.2,78.5
9.1,78.8,80.5,80.1,78.9,78.3
9.2,78.4,80.1,79.8,78.7,78
9.3,78.1,79.7,79.5,78.3,77.7
9.4,77.8,79.4,79.1,78,77.4
9.5,77.3,79.2,78.7,77.7,77.1
9.6,77,78.9,78.5,77.5,76.7
9.7,76.6,78.5,78.2,77.1,76.6
9.8,76.2,78,77.9,76.8,76.2
9.9,75.9,77.7,77.6,76.5,76
10,75.7,77.5,77.2,76.2,75.6
10.1,75.3,77.1,77,76,75.3
10.2,74.8,76.8,76.6,75.7,75
10.3,74.6,76.5,76.4,75.4,74.7
10.4,74.2,76.2,76,75.1,74.5
10.5,73.9,75.9,75.8,74.8,74.2
10.6,73.6,75.7,75.3,74.5,74
10.7,73.2,75.2,75.1,74.2,73.6
10.8,72.8,74.8,74.9,74,73.4
10.9,72.4,74.5,74.6,73.7,73.1
11,72.1,74.3,74.3,73.4,72.8
11.1,71.9,73.9,73.9,73.2,72.5
11.2,71.5,73.6,73.7,72.8,72.2
11.3,71.2,73.3,73.4,72.5,72
11.4,71,73,73.2,72.3,71.7
11.5,70.7,72.8,72.9,72,71.4
11.6,70.3,72.4,72.6,71.7,71.1
11.7,69.8,72.1,72.3,71.5,70.9
11.8,69.4,71.8,72,71.2,70.7
11.9,69.2,71.5,71.7,70.9,70.4
12,69,71.2,71.4,70.6,70.1
12.1,68.6,70.9,71.2,70.4,69.9
12.2,68.2,70.6,70.9,70.2,69.5
12.3,68,70.3,70.7,69.9,69.3
12.4,67.7,70,70.4,69.6,69.1
12.5,67.3,69.8,70.1,69.4,68.7
12.6,67,69.5,69.8,69.1,68.6
12.7,66.7,69.1,69.5,68.8,68.3
12.8,66.4,68.9,69.3,68.5,68.1
12.9,66.1,68.6,69,68.3,67.9
13,65.9,68.4,68.8,68,67.6
13.1,65.6,68,68.5,67.8,67.3
13.2,65.2,67.7,68.2,67.5,67
13.3,65,67.5,67.9,67.3,66.8
13.4,64.7,67.3,67.7,67,66.5
13.5,64.4,66.9,67.5,66.8,66.3
13.6,64.1,66.6,67.2,66.5,66
13.7,63.8,66.3,66.8,66.2,65.7
13.8,63.5,66,66.6,66,65.6
13.9,63.3,65.8,66.3,65.7,65.2
14,62.9,65.5,66.1,65.6,65
14.1,62.7,65.2,65.9,65.3,64.8
14.2,62.3,65,65.6,65.1,64.6
14.3,62,64.7,65.3,64.8,64.3
14.4,61.7,64.4,65,64.5,64
14.5,61.4,64.1,64.8,64.2,63.8
14.6,61.1,63.8,64.5,64,63.5
14.7,60.8,63.6,64.3,63.8,63.3
14.8,60.6,63.2,64,63.5,63
14.9,60.4,63,63.7,63.2,62.7
15,60.1,62.8,63.5,63,62.5
15.1,59.9,62.5,63.2,62.7,62.3
15.2,59.5,62.2,63,62.5,62
15.3,59.3,61.9,62.7,62.2,61.7
15.4,59,61.7,62.6,62,61.6
15.5,58.7,61.4,62.2,61.8,61.3
15.6,58.4,61.1,61.9,61.6,61.2
15.7,58.1,60.9,61.7,61.4,60.9
15.8,57.9,60.7,61.6,61.1,60.6
15.9,57.6,60.5,61.3,60.8,60.5
16,57.4,60.1,61,60.7,60.3
16.1,57.1,59.9,60.8,60.4,59.9
16.2,56.8,59.7,60.5,60.2,59.8
16.3,56.5,59.4,60.3,60,59.5
16.4,56.3,59.1,60.1,59.7,59.3
16.5,56,58.9,59.9,59.4,59.1
16.6,55.8,58.6,59.6,59.2,58.9
16.7,55.5,58.4,59.4,59,58.6
16.8,55.2,58.2,59.1,58.8,58.4
16.9,54.9,58,58.9,58.6,58.2
17,54.7,57.7,58.7,58.4,57.9
17.1,54.5,57.5,58.5,58.2,57.8
17.2,54.3,57.1,58.2,57.9,57.4
17.3,54.1,56.9,58,57.8,57.3
17.4,53.8,56.6,57.8,57.5,57.1
17.5,53.5,56.4,57.5,57.2,56.9
17.6,53.3,56.2,57.3,57,56.7
17.7,53.1,56,57.1,56.8,56.4
17.8,52.9,55.7,56.8,56.6,56.2
17.9,52.6,55.5,56.7,56.4,56
18,52.4,55.2,56.4,56.2,55.8
18.1,52.1,55,56.2,56,55.5
18.2,51.9,54.8,55.9,55.8,55.4
18.3,51.7,54.6,55.7,55.5,55.1
18.4,51.4,54.4,55.6,55.3,54.9
18.5,51,54.1,55.3,55.1,54.8
18.6,50.9,53.9,55.1,55,54.6
18.7,50.7,53.7,54.9,54.8,54.4
18.8,50.5,53.4,54.6,54.5,54.1
18.9,50.2,53.2,54.4,54.3,53.9
19,50,53,54.3,54.1,53.7
19.1,49.8,52.7,54,53.9,53.5
19.2,49.6,52.5,53.8,53.7,53.3
19.3,49.4,52.3,53.5,53.5,53.1
19.4,49.2,52,53.3,53.3,52.8
19.5,48.9,51.8,53.2,53.1,52.6
19.6,48.6,51.6,52.9,52.8,52.5
19.7,48.4,51.4,52.7,52.6,52.3
19.8,48.1,51.2,52.5,52.4,52.1
19.9,47.9,51,52.3,52.2,51.9
20,47.7,50.7,52.2,52,51.6
20.1,47.5,50.5,51.9,51.8,51.4
20.2,47.3,50.3,51.6,51.6,51.2
20.3,47.1,50.1,51.4,51.4,51
20.4,46.8,49.8,51.3,51.2,50.8
20.5,46.7,49.6,51,51,50.6
20.6,46.6,49.4,50.9,50.8,50.4
20.7,46.3,49.2,50.6,50.6,50.3
20.8,46,49,50.4,50.4,50.1
20.9,45.8,48.8,50.2,50.2,49.9
21,45.6,48.6,50,50,49.7
21.1,45.4,48.4,49.8,49.8,49.5
21.2,45.2,48.2,49.6,49.6,49.3
21.3,45,48,49.4,49.5,49.1
21.4,44.8,47.8,49.3,49.3,48.9
21.5,44.5,47.6,49.1,49.1,48.7
21.6,44.3,47.4,48.9,48.9,48.5
21.7,44.2,47.2,48.6,48.7,48.4
21.8,44,47,48.4,48.6,48.2
21.9,43.8,46.8,48.3,48.4,48.1
22,43.7,46.6,48.1,48.2,47.8
22.1,43.5,46.4,47.9,48,47.7
22.2,43.3,46.3,47.7,47.8,47.4
22.3,43,46,47.5,47.6,47.3
22.4,42.9,45.8,47.4,47.4,47.1
22.5,42.6,45.6,47.2,47.3,47
22.6,42.4,45.5,47,47.1,46.7
22.7,42.2,45.3,46.8,46.9,46.6
22.8,42,45.1,46.6,46.7,46.4
22.9,41.9,44.8,46.4,46.5,46.3
23,41.7,44.7,46.2,46.4,46
