Percentage Depth Doses,,,,
Wedge 60,,,,
SSD=100cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,15x15cm2,15x40cm2
0,24,31.1,38.2,49
0.1,27.3,34.699999999999996,41.925,52.55
0.2,33.05,40.325,46.925,57.8
0.3,41.733333333333334,48.775,54.8,64.86666666666667
0.4,50.1,56.24,62,70.85000000000001
0.5,57.25,62.400000000000006,68.2,75.8
0.6,63.4,67.9,73.125,80.3
0.7,68.45,72.85,77.4,83.8
0.8,72.82000000000001,76.7,81.03333333333333,86.6
0.9,76.875,80.46666666666667,83.95,89.3
1,80.3,83.325,86.65,91.27499999999999
1.1,83.275,85.95,89,93.05000000000001
1.2,85.8,88.275,90.93333333333332,94.55
1.3,88,90.175,92.7,95.725
1.4,89.9,91.675,94,96.85
1.5,91.7,93.4,95.2,97.5
1.6,93.2,94.55000000000001,96.2,98.2
1.7,94.44999999999999,95.8,97.1,98.8
1.8,95.375,96.7,97.9,99.36666666666667
1.9,96.75999999999999,97.3,98.35,99.55
2,97.35,98,98.86666666666667,99.8
2.1,97.85000000000001,98.5,99.25,99.9
2.2,98.675,98.95,99.5,100
2.3,99.025,99.2,99.7,100
2.4,99.43333333333334,99.525,99.82,100
2.5,99.6,99.7,99.9,100
2.6,99.8,99.8,100,99.88000000000001
2.7,99.85,99.9,100,99.8
2.8,99.93333333333334,100,99.9,99.6
2.9,100,100,99.8,99.4
3,99.9,99.9,99.7,99.19999999999999
3.1,99.9,99.825,99.525,99
3.2,99.8,99.77499999999999,99.375,98.65
3.3,99.675,99.625,99.14999999999999,98.42
3.4,99.5,99.4,99,98.175
3.5,99.3,99.2,98.825,97.92500000000001
3.6,99.14999999999999,98.94,98.53333333333333,97.675
3.7,98.9,98.68,98.3,97.25
3.8,98.5,98.45,98,96.975
3.9,98.15,98.1,97.65,96.69999999999999
4,97.9,97.8,97.45,96.4
4.1,97.7,97.45,97.13333333333334,96.06
4.2,97.35,97.22,96.75,95.69999999999999
4.3,97,96.93333333333334,96.35000000000001,95.3
4.4,96.55,96.55,96.125,95
4.5,96.05,96.23333333333333,95.75,94.69999999999999
