Output factors,,,,,,,
Wedge 60 R,,,,,,,
SSD=95cm,,,,,,,
Depth=5cm,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,
,,Field size X [cm],,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0
,3.0,0.863,0.881,0.889,0.898,0.905,0.911
,4.0,0.882,0.902,0.913,0.924,0.933,0.941
,5.0,0.892,0.914,0.926,0.94,0.951,0.961
,7.0,0.905,0.929,0.944,0.961,0.976,0.989
,10.0,0.916,0.944,0.961,0.983,1.0,1.018
,15.0,0.926,0.957,0.976,1.002,1.025,1.048
,20.0,0.931,0.964,0.985,1.013,1.04,1.068
,30.0,0.94,0.974,0.997,1.029,1.061,1.096
,40.0,0.944,0.98,1.003,1.037,1.072,1.11
