Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=1.5cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-25.2,,,,,,,,2.6
-25.1,,,,,,,,2.7
-25,,,,,,,,2.7
-24.9,,,,,,,,2.7
-24.8,,,,,,,,2.8
-24.7,,,,,,,,2.8
-24.6,,,,,,,,2.8
-24.5,,,,,,,,2.9
-24.4,,,,,,,,2.9
-24.3,,,,,,,,3
-24.2,,,,,,,,3
-24.1,,,,,,,,3.066666666666668
-24,,,,,,,,3.1
-23.9,,,,,,,,3.1
-23.8,,,,,,,,3.2
-23.7,,,,,,,,3.2571428571428567
-23.6,,,,,,,,3.3
-23.5,,,,,,,,3.3
-23.4,,,,,,,,3.4
-23.3,,,,,,,,3.4
-23.2,,,,,,,,3.5
-23.1,,,,,,,,3.6
-23,,,,,,,,3.633333333333332
-22.9,,,,,,,,3.7
-22.8,,,,,,,,3.8
-22.7,,,,,,,,3.866666666666668
-22.6,,,,,,,,3.9
-22.5,,,,,,,,4
-22.4,,,,,,,,4.083333333333334
-22.3,,,,,,,,4.1
-22.2,,,,,,,,4.25
-22.1,,,,,,,,4.339999999999998
-22,,,,,,,,4.433333333333332
-21.9,,,,,,,,4.516666666666666
-21.8,,,,,,,,4.6
-21.7,,,,,,,,4.7
-21.6,,,,,,,,4.866666666666668
-21.5,,,,,,,,5
-21.4,,,,,,,,5.133333333333332
-21.3,,,,,,,,5.339999999999998
-21.2,,,,,,,,5.533333333333331
-21.1,,,,,,,,5.866666666666669
-21,,,,,,,,6.2500000000000036
-20.9,,,,,,,,6.833333333333337
-20.8,,,,,,,,7.8
-20.7,,,,,,,,9.566666666666654
-20.6,,,,,,,,12.90000000000002
-20.5,,,,,,,,17.61428571428573
-20.4,,,,,,,,23.3
-20.3,,,,,,,,29.433333333333394
-20.2,,,,,,,2.5,35.86666666666661
-20.1,,,,,,,2.6,42.1
-20,,,,,,,2.6,46.83333333333338
-19.9,,,,,,,2.6249999999999982,50.01666666666665
-19.8,,,,,,,2.7,51.85000000000001
-19.7,,,,,,,2.7,52.900000000000006
-19.6,,,,,,,2.7666666666666684,53.55
-19.5,,,,,,,2.8,54.050000000000004
-19.4,,,,,,,2.866666666666668,54.4
-19.3,,,,,,,2.9,54.8
-19.2,,,,,,,2.9,55.1
-19.1,,,,,,,3,55.3
-19,,,,,,,3,55.56666666666666
-18.9,,,,,,,3.1,55.83333333333333
-18.8,,,,,,,3.1,56
-18.7,,,,,,,3.2,56.324999999999996
-18.6,,,,,,,3.2,56.56
-18.5,,,,,,,3.3,56.71666666666667
-18.4,,,,,,,3.3399999999999976,56.96666666666667
-18.3,,,,,,,3.4,57.18333333333334
-18.2,,,,,,,3.4,57.4
-18.1,,,,,,,3.5,57.61666666666667
-18,,,,,,,3.6,57.86666666666667
-17.9,,,,,,,3.6800000000000015,58.042857142857144
-17.8,,,,,,,3.716666666666666,58.31999999999999
-17.7,,,,,,,3.8,58.5
-17.6,,,,,,,3.8499999999999996,58.725
-17.5,,,,,,,3.95,58.93333333333333
-17.4,,,,,,,4,59.2
-17.3,,,,,,,4.1,59.36666666666667
-17.2,,,,,,,4.2,59.620000000000005
-17.1,,,,,,,4.3,59.81666666666666
-17,,,,,,,4.4,60.06666666666667
-16.9,,,,,,,4.5,60.25
-16.8,,,,,,,4.6,60.48
-16.7,,,,,,,4.7600000000000025,60.714285714285715
-16.6,,,,,,,4.875000000000002,60.9
-16.5,,,,,,,5,61.2
-16.4,,,,,,,5.116666666666665,61.4
-16.3,,,,,,,5.366666666666669,61.580000000000005
-16.2,,,,,,,5.633333333333336,61.8
-16.1,,,,,,,5.8799999999999955,62.01428571428571
-16,,,,,,,6.320000000000005,62.22
-15.9,,,,,,,6.840000000000003,62.5
-15.8,,,,,,,7.8,62.650000000000006
-15.7,,,,,,,9.275000000000011,62.91428571428571
-15.6,,,,,,,12.433333333333369,63.080000000000005
-15.5,,,,,,,16.824999999999953,63.32000000000001
-15.4,,,,,,,23.29999999999997,63.56666666666667
-15.3,,,,,,,30.800000000000065,63.8
-15.2,,,,,,,38.6200000000001,64.02
-15.1,,,,,,2.2,45.799999999999926,64.2
-15,,,,,,2.2,52.14285714285717,64.53333333333333
-14.9,,,,,,2.2,57.1,64.74285714285715
