Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=10cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-26.9,,,,,,,,5.1
-26.8,,,,,,,,5.2
-26.7,,,,,,,,5.2428571428571455
-26.6,,,,,,,,5.3857142857142835
-26.5,,,,,,,,5.4
-26.4,,,,,,,,5.5
-26.3,,,,,,,,5.6
-26.2,,,,,,,,5.679999999999995
-26.1,,,,,,,,5.75
-26,,,,,,,,5.8
-25.9,,,,,,,,5.942857142857146
-25.8,,,,,,,,6
-25.7,,,,,,,,6.1
-25.6,,,,,,,,6.228571428571428
-25.5,,,,,,,,6.362499999999999
-25.4,,,,,,,,6.4
-25.3,,,,,,,,6.533333333333331
-25.2,,,,,,,,6.7
-25.1,,,,,,,,6.728571428571428
-25,,,,,,,,6.871428571428573
-24.9,,,,,,,,7
-24.8,,,,,,,,7.1
-24.7,,,,,,,,7.2399999999999975
-24.6,,,,,,,,7.4
-24.5,,,,,,,,7.483333333333334
-24.4,,,,,,,,7.642857142857143
-24.3,,,,,,,,7.7857142857142865
-24.2,,,,,,,,7.916666666666666
-24.1,,,,,,,,8.071428571428573
-24,,,,,,,,8.257142857142854
-23.9,,,,,,,,8.471428571428573
-23.8,,,,,,,,8.6
-23.7,,,,,,,,8.833333333333332
-23.6,,,,,,,,9
-23.5,,,,,,,,9.175
-23.4,,,,,,,,9.379999999999995
-23.3,,,,,,,,9.62
-23.2,,,,,,,,9.816666666666666
-23.1,,,,,,,,10.066666666666668
-23,,,,,,,,10.385714285714288
-22.9,,,,,,,,10.725000000000003
-22.8,,,,,,,,11.1
-22.7,,,,,,,,11.524999999999995
-22.6,,,,,,,,12.185714285714283
-22.5,,,,,,,,13.1
-22.4,,,,,,,,14.7
-22.3,,,,,,,,17
-22.2,,,,,,,,20.700000000000003
-22.1,,,,,,,,24.900000000000016
-22,,,,,,,,29.799999999999958
-21.9,,,,,,,,34.68571428571431
-21.8,,,,,,,,39.3
-21.7,,,,,,,,43.212499999999984
-21.6,,,,,,,,46.00000000000001
-21.5,,,,,,,,47.828571428571436
-21.4,,,,,,,5.071428571428572,48.974999999999994
-21.3,,,,,,,5.1,49.83333333333334
-21.2,,,,,,,5.2,50.44285714285714
-21.1,,,,,,,5.3,50.871428571428574
-21,,,,,,,5.4,51.4
-20.9,,,,,,,5.5,51.766666666666666
-20.8,,,,,,,5.580000000000001,52.15714285714286
-20.7,,,,,,,5.660000000000002,52.44285714285714
-20.6,,,,,,,5.7600000000000025,52.81428571428572
-20.5,,,,,,,5.9,53.1625
-20.4,,,,,,,6,53.4375
-20.3,,,,,,,6.1,53.785714285714285
-20.2,,,,,,,6.185714285714287,54.07142857142858
-20.1,,,,,,,6.3,54.425
-20,,,,,,,6.4,54.63333333333334
-19.9,,,,,,,6.524999999999999,54.949999999999996
-19.8,,,,,,,6.624999999999998,55.214285714285715
-19.7,,,,,,,6.8,55.5
-19.6,,,,,,,6.9,55.785714285714285
-19.5,,,,,,,7.033333333333331,56.050000000000004
-19.4,,,,,,,7.139999999999998,56.3
-19.3,,,,,,,7.3199999999999985,56.65
-19.2,,,,,,,7.5,56.91428571428571
-19.1,,,,,,,7.624999999999998,57.13333333333333
-19,,,,,,,7.8,57.38333333333333
-18.9,,,,,,,7.975000000000001,57.675000000000004
-18.8,,,,,,,8.1,57.91111111111111
-18.7,,,,,,,8.257142857142854,58.2
-18.6,,,,,,,8.483333333333334,58.48571428571429
-18.5,,,,,,,8.624999999999998,58.7
-18.4,,,,,,,8.8,58.949999999999996
-18.3,,,,,,,9.05,59.2
-18.2,,,,,,,9.25,59.45
-18.1,,,,,,,9.483333333333334,59.733333333333334
-18,,,,,,,9.675,59.971428571428575
-17.9,,,,,,,9.95,60.177777777777784
-17.8,,,,,,,10.228571428571426,60.42857142857142
-17.7,,,,,,,10.514285714285712,60.68000000000001
-17.6,,,,,,,10.749999999999996,60.91428571428571
-17.5,,,,,,,11.075000000000001,61.13333333333334
-17.4,,,,,,,11.51428571428571,61.4
-17.3,,,,,,,12.050000000000002,61.63333333333333
-17.2,,,,,,,12.585714285714282,61.95714285714286
-17.1,,,,,,,13.557142857142853,62.160000000000004
-17,,,,,,,14.9,62.4
-16.9,,,,,,,17.1,62.63333333333333
-16.8,,,,,,,20.61428571428573,62.871428571428574
-16.7,,,,,,,25.549999999999997,63.2
-16.6,,,,,,,31,63.33333333333333
-16.5,,,,,,,36.87499999999996,63.62500000000001
-16.4,,,,,,,42.7,63.8
-16.3,,,,,,,48,64.06666666666666
-16.2,,,,,,,52.2,64.3
-16.1,,,,,,,55.1,64.47500000000001
-16,,,,,,,56.92499999999999,64.71111111111111
-15.9,,,,,,4.6,57.99999999999999,64.95
