Output factors,,,,,,,,,,
Open field,,,,,,,,,,
SSD=95cm,,,,,,,,,,
Depth=5cm,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,
,,Field size X [cm],,,,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0,30.0,40.0
,3.0,0.896,0.907,0.914,0.922,0.928,0.932,0.934,0.937,0.937
,4.0,0.907,0.921,0.929,0.94,0.947,0.953,0.956,0.958,0.959
,5.0,0.914,0.93,0.94,0.952,0.962,0.969,0.972,0.975,0.976
,7.0,0.925,0.943,0.955,0.97,0.982,0.991,0.996,1.0,1.001
,10.0,0.933,0.953,0.967,0.985,1.0,1.012,1.018,1.024,1.025
,15.0,0.938,0.96,0.975,0.996,1.013,1.029,1.038,1.046,1.048
,20.0,0.941,0.963,0.979,1.001,1.02,1.038,1.049,1.058,1.06
,30.0,0.944,0.967,0.983,1.006,1.028,1.048,1.061,1.072,1.075
,40.0,0.945,0.968,0.985,1.009,1.031,1.052,1.065,1.078,1.08
