Percentage Depth Doses,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization Chamber,,,,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,,,,
Depth [cm],3x3cm2,4x4cm2,6x6cm2,8x8cm2,10x10cm2,20x20cm2,30x30cm2,40x40cm2
0,47.8,48.3,49.8,52.1,53.6,62.2,68.5,72.2
0.1,53.075,53.8,55.324999999999996,57.025,59.1,66.6,73,76.35
0.2,62.050000000000004,61.8,63.475,65.6,66.22500000000001,74.27499999999999,78.475,81.56
0.3,72.325,72.15,73.725,74.60000000000001,75.7,81.4,85.25,87.6
0.4,79.3,79.95,80.4,81.5,82.775,87.19999999999999,90,91.6
0.5,85.4,85.675,86.1,86.8,87.95,91.4,93.55,94.5
0.6,89.6,89.94999999999999,90.30000000000001,90.9,91.525,94.2,95.825,96.55
0.7,93,93.02,93.5,93.9,94.275,96.3,97.53333333333333,97.9
0.8,95.6,95.3,95.60000000000001,96,96.2,97.73333333333333,98.5,98.82000000000001
0.9,97.05,96.95,97.3,97.43333333333334,97.65,98.72,99.30000000000001,99.35000000000001
1,98.325,98.23333333333333,98.43333333333334,98.5,98.8,99.52499999999999,99.7,99.82
1.1,99.225,99.25,99.2,99.4,99.45,99.9,100,99.94
1.2,99.75,99.75,99.75,99.8,99.8,100,100,100
1.3,100,100,99.97500000000001,100,100,100,100,100
1.4,100,100,100,100,100,100,100,99.86666666666667
1.5,100,100,100,100,100,99.9,99.825,99.7
1.6,99.9,99.825,99.83333333333333,99.8,99.9,99.63333333333333,99.575,99.45
1.7,99.6,99.6,99.66666666666667,99.6,99.63333333333333,99.4,99.325,99.22500000000001
1.8,99.25,99.35,99.3,99.3,99.4,99.1,99.1,98.84
1.9,98.8,98.9,99,98.97999999999999,98.95,98.8,98.64,98.5
2,98.375,98.5,98.7,98.57499999999999,98.73333333333333,98.375,98.4,98.23333333333333
2.1,97.85,98,98.22,98.25,98.30000000000001,98.125,98.03333333333333,97.9
2.2,97.35000000000001,97.6,97.85,97.675,97.875,97.7,97.8,97.6
2.3,96.95,97.1,97.375,97.42500000000001,97.5,97.325,97.35,97.25999999999999
2.4,96.425,96.65,96.875,97.1,97.1,97.05,97,96.95
2.5,95.92500000000001,96.175,96.35000000000001,96.525,96.75,96.57499999999999,96.66666666666667,96.55
2.6,95.4,95.65,95.9,96.2,96.3,96.30000000000001,96.3,96.3
2.7,94.85,95.075,95.5,95.69999999999999,95.84,95.98,95.95,95.975
2.8,94.3,94.58,95,95.2,95.5,95.55000000000001,95.55,95.625
2.9,93.69999999999999,94.14999999999999,94.5,94.80000000000001,95.05,95.1,95.27499999999999,95.28
3,93.2,93.5,94.23333333333333,94.3,94.55,94.80000000000001,94.92500000000001,94.92
3.1,92.73333333333333,93.05000000000001,93.69999999999999,93.95,94.15,94.4,94.6,94.53333333333333
3.2,92.05,92.6,93.16,93.56,93.64999999999999,94,94.25,94.23333333333333
3.3,91.625,92.08,92.66,92.96000000000001,93.36,93.6,93.9,93.91666666666667
3.4,90.95,91.55,92.25,92.5,92.85,93.2,93.55,93.57499999999999
3.5,90.375,90.975,91.75,92.15,92.5,92.95,93.12,93.34
3.6,90,90.55,91.3,91.75,92.05,92.5,92.8,93
3.7,89.46666666666667,90.15,90.75,91.24,91.6,92.15,92.45,92.625
3.8,88.9,89.55,90.325,90.80000000000001,91.1,91.75,92,92.3
3.9,88.4,88.925,89.86,90.4,90.7,91.375,91.75999999999999,91.96
4,87.80000000000001,88.375,89.28,89.95,90.26666666666667,90.95,91.38,91.57499999999999
4.1,87.25,88.1,88.85,89.55,89.86,90.65,91,91.28
4.2,86.8,87.6,88.43333333333334,89.15,89.46000000000001,90.25,90.7,90.94
4.3,86.23333333333333,87.1,87.9,88.625,89.05,89.9,90.3,90.58
4.4,85.6,86.44999999999999,87.43333333333334,88.15,88.55,89.5,89.95,90.2
4.5,85.14,85.9,87.02499999999999,87.8,88.125,89.06666666666666,89.6,89.86
4.6,84.55,85.47999999999999,86.55,87.4,87.69999999999999,88.73333333333333,89.25,89.54
4.7,84.16666666666667,84.875,86.15,86.9,87.2,88.3,89,89.2
4.8,83.65,84.45,85.5,86.35,86.8,88,88.55,88.9
4.9,83.05,84.02499999999999,85.15,85.9,86.375,87.66666666666667,88.25,88.45
5,82.58,83.45,84.7,85.52,86.125,87.27499999999999,87.75,88.19999999999999
5.1,82.02499999999999,83,84.19999999999999,85.05,85.625,86.88,87.5,87.83333333333334
5.2,81.56666666666666,82.4,83.75,84.525,85.25,86.55,87.1,87.46000000000001
5.3,81,81.9,83.375,84.19999999999999,84.8,86.16666666666667,86.76,87.16
5.4,80.56666666666666,81.5,82.95,83.7,84.4,85.7,86.42500000000001,86.75
5.5,79.9,81,82.46,83.35,83.9,85.36666666666667,86.05,86.42
5.6,79.46666666666667,80.65,81.9,82.85000000000001,83.46000000000001,85.05,85.67999999999999,86.1
5.7,79.1,80.14999999999999,81.4,82.35,83.14999999999999,84.675,85.4,85.76
5.8,78.7,79.64,81.03333333333333,81.98,82.77499999999999,84.27499999999999,85.05,85.42
5.9,78.1,79.08,80.625,81.55,82.325,83.92500000000001,84.7,84.96
6,77.62,78.7,80.125,81.07499999999999,81.84,83.58,84.25,84.675
6.1,77.15,78.26666666666667,79.6,80.83333333333333,81.5,83.2,84.025,84.43333333333334
6.2,76.64999999999999,77.775,79.30000000000001,80.25,81.1,82.75,83.675,84
6.3,76.15,77.27499999999999,78.8,79.9,80.6,82.4,83.25,83.69999999999999
6.4,75.55,76.95,78.3,79.35,80.15,82.1,82.88000000000001,83.38333333333334
6.5,75.2,76.4,77.94,79.03333333333333,79.825,81.73333333333333,82.6,83.06666666666666
6.6,74.75,75.80000000000001,77.45,78.66666666666666,79.45,81.275,82.3,82.69999999999999
6.7,74.2,75.4,77.08,78.15,79.08,80.97500000000001,81.96666666666667,82.36
6.8,73.82000000000001,75.05,76.63333333333334,77.725,78.66666666666667,80.63333333333333,81.45,82.02499999999999
6.9,73.375,74.52499999999999,76.16666666666667,77.4,78.2,80.225,81.2,81.75
7,72.875,74.05,75.7,77.02499999999999,77.83999999999999,79.97500000000001,80.86666666666667,81.35
7.1,72.45,73.64,75.25,76.47500000000001,77.45,79.55,80.6,80.96666666666667
7.2,72,73.19999999999999,74.85,76.05,77.05,79.175,80.2,80.7
7.3,71.45,72.7,74.55,75.8,76.575,78.9,79.85,80.4
7.4,71,72.4,74.02499999999999,75.4,76.17999999999999,78.4,79.43333333333334,80.12857142857142
7.5,70.63333333333333,71.95,73.6,74.9,75.8,78.15,79.26666666666667,79.75
7.6,70.175,71.45,73.15,74.52,75.4,77.825,78.875,79.4
7.7,69.85,71.125,72.8,74.13333333333334,75,77.425,78.52499999999999,79.06666666666666
7.8,69.28,70.56666666666666,72.45,73.72,74.675,77.075,78.16000000000001,78.775
7.9,69,70.1,72.05,73.275,74.35,76.825,77.85,78.56666666666666
8,68.6,69.69999999999999,71.65,72.95,73.85000000000001,76.3,77.53999999999999,78.2
8.1,68.15,69.2,71.14999999999999,72.6,73.425,76.05,77.225,77.78
8.2,67.66666666666666,68.9,70.7,72.2,73.2,75.8,76.825,77.52
8.3,67.1,68.35,70.25,71.75,72.8,75.35,76.6,77.22
8.4,66.775,67.94,69.9,71.3,72.35,74.94,76.17999999999999,76.9
8.5,66.44,67.56,69.47500000000001,70.95,72.05,74.65,75.9,76.56666666666666
8.6,66,67.19999999999999,69.05,70.52499999999999,71.6,74.225,75.5,76.3
8.7,65.5,66.8,68.65,70.16000000000001,71.3,73.875,75.2,75.96000000000001
8.8,65.03999999999999,66.32000000000001,68.24,69.8,70.83333333333333,73.55,74.86666666666667,75.65
8.9,64.675,65.97500000000001,67.86666666666667,69.3,70.53333333333333,73.2,74.64999999999999,75.25
9,64.25,65.55,67.6,68.95,70.19999999999999,72.95,74.25,75
9.1,63.85,65.13333333333334,67.1,68.7,69.8,72.6,73.825,74.68333333333334
9.2,63.525,64.69999999999999,66.725,68.19999999999999,69.25,72.26666666666667,73.575,74.3
9.3,63.06,64.2,66.25,67.85000000000001,68.92,71.85000000000001,73.14999999999999,73.97500000000001
9.4,62.7,63.849999999999994,65.85,67.52499999999999,68.575,71.6,72.9,73.73333333333333
9.5,62.2,63.5,65.4,67.05,68.3,71.225,72.6,73.3
9.6,61.8,63.06666666666667,65.15,66.64999999999999,67.775,70.75,72.23333333333333,73.03333333333333
9.7,61.4,62.75,64.6,66.28,67.45,70.56666666666666,71.85,72.76666666666667
9.8,61.1,62.4,64.30000000000001,65.9,67.2,70.2,71.6,72.5
9.9,60.76,61.925,63.9,65.5,66.75,69.85,71.3,72.06666666666666
10,60.449999999999996,61.540000000000006,63.575,65.22,66.4,69.53999999999999,70.96666666666667,71.78
10.1,59.975,61.150000000000006,63.324999999999996,64.7,66.02,69.275,70.66666666666667,71.5
10.2,59.53333333333333,60.8,62.775,64.375,65.625,68.85,70.3,71.16666666666667
10.3,59.075,60.4,62.525,64.125,65.23333333333333,68.46666666666667,70,70.825
10.4,58.775,60.025,62.1,63.775,64.925,68.175,69.7,70.53333333333333
10.5,58.54,59.675000000000004,61.7,63.275,64.7,67.84,69.36666666666667,70.28
10.6,58.1,59.349999999999994,61.4,63,64.25,67.6,69.1,69.86
10.7,57.7,58.975,61,62.6,64,67.2,68.73333333333333,69.56666666666666
10.8,57.2,58.580000000000005,60.66,62.233333333333334,63.519999999999996,66.93333333333334,68.5,69.3
10.9,56.93333333333334,58.233333333333334,60.275,61.9,63.3,66.575,68.15,69.03999999999999
11,56.575,57.849999999999994,59.849999999999994,61.650000000000006,62.96,66.25,67.8,68.75
11.1,56.1,57.55,59.575,61.3,62.525,65.875,67.6,68.41666666666667
11.2,55.9,57.14,59.25,60.9,62.175000000000004,65.64,67.3,68.14
11.3,55.55,56.775,58.9,60.55,61.824999999999996,65.3,67.02499999999999,67.83333333333334
11.4,55.18000000000001,56.525,58.6,60.1,61.5,64.95,66.675,67.6
11.5,54.8,56.150000000000006,58.2,59.824999999999996,61.150000000000006,64.6,66.425,67.30000000000001
11.6,54.6,55.75,57.9,59.550000000000004,60.9,64.375,66.1,66.95
11.7,54.160000000000004,55.45,57.53333333333333,59.15,60.45,64.02499999999999,65.75,66.725
11.8,53.925,55.1,57.2,58.9,60.25,63.7,65.5,66.43333333333334
11.9,53.45,54.75,56.8,58.5,59.875,63.43333333333333,65.19999999999999,66.06
12,53.15,54.4,56.56,58.1,59.525,63.2,64.9,65.75
12.1,52.775,54.050000000000004,56.16666666666667,57.875,59.18000000000001,62.86666666666667,64.53999999999999,65.55
12.2,52.525,53.7,55.775,57.525,58.9,62.6,64.34,65.26666666666667
12.3,52.2,53.45,55.525,57.26,58.6,62.25,63.925,64.93333333333334
12.4,51.9,53.025,55.2,56.849999999999994,58.25,62.019999999999996,63.7,64.61999999999999
12.5,51.5,52.75,54.849999999999994,56.55,57.975,61.625,63.4,64.41428571428571
12.6,51.3,52.5,54.5,56.2,57.725,61.349999999999994,63.150000000000006,64.18
12.7,50.9,52.1,54.2,55.93333333333334,57.3,61.1,62.9,63.849999999999994
12.8,50.650000000000006,51.8,53.925,55.625,56.96666666666667,60.75,62.7,63.5
12.9,50.25,51.425,53.63333333333333,55.275,56.7,60.519999999999996,62.225,63.3
13,50,51.075,53.25,55.050000000000004,56.4,60.175000000000004,62.050000000000004,63.050000000000004
13.1,49.6,50.824999999999996,52.95,54.75,56.075,59.875,61.725,62.720000000000006
13.2,49.3,50.56666666666667,52.7,54.3,55.8,59.55,61.375,62.525
13.3,48.95,50.1,52.349999999999994,54,55.45,59.175000000000004,61.150000000000006,62.233333333333334
13.4,48.6,49.86666666666667,52,53.7,55.125,58.93333333333333,60.9,61.8
13.5,48.36,49.7,51.650000000000006,53.4,54.8,58.66666666666667,60.7,61.56666666666666
13.6,48.050000000000004,49.275,51.36666666666667,53.1,54.55,58.4,60.25,61.3
13.7,47.725,48.925,51.13333333333333,52.75,54.2,58.150000000000006,60.06666666666667,61.075
13.8,47.475,48.675000000000004,50.85,52.475,53.83333333333333,57.86,59.8,60.739999999999995
13.9,47.25,48.349999999999994,50.48,52.14,53.55,57.55,59.43333333333333,60.54
14,47,48.1,50.2,51.9,53.31999999999999,57.275,59.2,60.266666666666666
14.1,46.650000000000006,47.86666666666667,49.9,51.55,53.03333333333333,57.025,58.925,60.03333333333334
14.2,46.3,47.5,49.55,51.28,52.766666666666666,56.7,58.675000000000004,59.7
14.3,46.1,47.260000000000005,49.25,51,52.4,56.5,58.4,59.43333333333333
14.4,45.8,47.025,48.975,50.666666666666664,52.150000000000006,56.2,58.1,59.14
14.5,45.52,46.625,48.65,50.45,51.9,55.9,57.8,58.9
14.6,45.225,46.35,48.375,50.1,51.5,55.55,57.5,58.675000000000004
14.7,44.925,46.125,48.125,49.875,51.260000000000005,55.3,57.275,58.36666666666667
14.8,44.675000000000004,45.75,47.85,49.55,51.025,55.075,56.949999999999996,58.11666666666667
14.9,44.3,45.44,47.63333333333333,49.35,50.775,54.824999999999996,56.75,57.8
15,44.05,45.2,47.3,49.025,50.425,54.575,56.425,57.628571428571426
15.1,43.8,45,47.05,48.7,50.075,54.225,56.2,57.31428571428572
15.2,43.5,44.660000000000004,46.824999999999996,48.5,49.824999999999996,53.980000000000004,55.9,57.028571428571425
15.3,43.225,44.5,46.475,48.175000000000004,49.5,53.650000000000006,55.7,56.81999999999999
15.4,42.975,44.2,46.125,47.925,49.3,53.4,55.4,56.575
15.5,42.725,43.849999999999994,45.875,47.675000000000004,49.019999999999996,53.150000000000006,55.2,56.36
15.6,42.575,43.6,45.625,47.324999999999996,48.775,52.9,54.86666666666667,56.1
15.7,42.25,43.349999999999994,45.4,47.1,48.5,52.675000000000004,54.7,55.82857142857142
15.8,41.9,43,45.2,46.725,48.25,52.349999999999994,54.45,55.5
15.9,41.7,42.8,44.83333333333333,46.480000000000004,47.9,52.150000000000006,54.2,55.3
16,41.4,42.55,44.625,46.25,47.6,51.875,53.88,55.080000000000005
16.1,41.16666666666667,42.275,44.3,45.9,47.45,51.650000000000006,53.650000000000006,54.86666666666667
16.2,40.975,41.925,44.025,45.75,47.1,51.4,53.4,54.61666666666667
16.3,40.725,41.775,43.775,45.5,46.9,51.1,53.1,54.33333333333333
16.4,40.475,41.56666666666667,43.55,45.25,46.56666666666667,50.8,52.9,54.05
16.5,40.14,41.3,43.266666666666666,45.019999999999996,46.3,50.6,52.7,53.875
16.6,39.95,41.075,43,44.675000000000004,46.1,50.324999999999996,52.36666666666667,53.620000000000005
16.7,39.68000000000001,40.8,42.75,44.425,45.9,50.1,52.2,53.4
16.8,39.45,40.550000000000004,42.519999999999996,44.1,45.7,49.85,51.949999999999996,53.06
16.9,39.275,40.239999999999995,42.275,43.95,45.349999999999994,49.5,51.733333333333334,52.8
17,39.019999999999996,40,42.05,43.75,45.175000000000004,49.375,51.45,52.56666666666666
17.1,38.7,39.8,41.76,43.4,44.9,49.05,51.2,52.36666666666667
17.2,38.54,39.55,41.45,43.150000000000006,44.6,48.9,50.95,52.16666666666667
