Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=1.5cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-25.3,,,,,,,,4.5
-25.2,,,,,,,,4.6800000000000015
-25.1,,,,,,,,4.7
-25,,,,,,,,4.8
-24.9,,,,,,,,4.9
-24.8,,,,,,,,4.983333333333334
-24.7,,,,,,,,5.1
-24.6,,,,,,,,5.1833333333333345
-24.5,,,,,,,,5.2600000000000025
-24.4,,,,,,,,5.4
-24.3,,,,,,,,5.5
-24.2,,,,,,,,5.6
-24.1,,,,,,,,5.766666666666668
-24,,,,,,,,5.9
-23.9,,,,,,,,6
-23.8,,,,,,,,6.160000000000002
-23.7,,,,,,,,6.25
-23.6,,,,,,,,6.339999999999998
-23.5,,,,,,,,6.524999999999999
-23.4,,,,,,,,6.65
-23.3,,,,,,,,6.842857142857143
-23.2,,,,,,,,7
-23.1,,,,,,,,7.1
-23,,,,,,,,7.266666666666668
-22.9,,,,,,,,7.433333333333332
-22.8,,,,,,,,7.619999999999998
-22.7,,,,,,,,7.8166666666666655
-22.6,,,,,,,,8.016666666666666
-22.5,,,,,,,,8.171428571428573
-22.4,,,,,,,,8.38
-22.3,,,,,,,,8.560000000000002
-22.2,,,,,,,,8.760000000000002
-22.1,,,,,,,,8.95
-22,,,,,,,,9.133333333333331
-21.9,,,,,,,,9.3
-21.8,,,,,,,,9.533333333333337
-21.7,,,,,,,,9.73333333333333
-21.6,,,,,,,,9.966666666666663
-21.5,,,,,,,,10.23333333333333
-21.4,,,,,,,,10.549999999999997
-21.3,,,,,,,,10.966666666666669
-21.2,,,,,,,,11.449999999999998
-21.1,,,,,,,,12.1
-21,,,,,,,,12.924999999999992
-20.9,,,,,,,,14.299999999999986
-20.8,,,,,,,,16.4
-20.7,,,,,,,,20.58000000000003
-20.6,,,,,,,,28.4
-20.5,,,,,,,,38.28571428571425
-20.4,,,,,,,,49.819999999999865
-20.3,,,,,,,,62.44285714285705
-20.2,,,,,,,,74.3
-20.1,,,,,,,4.3,84.12000000000012
-20,,,,,,,4.4,92.45
-19.9,,,,,,,4.5,97.79999999999998
-19.8,,,,,,,4.6,100.30000000000001
-19.7,,,,,,,4.666666666666668,101.7
-19.6,,,,,,,4.7600000000000025,102.5
-19.5,,,,,,,4.8,103
-19.4,,,,,,,4.9,103.33333333333334
-19.3,,,,,,,5,103.66666666666666
-19.2,,,,,,,5.116666666666665,103.8
-19.1,,,,,,,5.216666666666666,103.96000000000001
-19,,,,,,,5.3,104.1
-18.9,,,,,,,5.4,104.2
-18.8,,,,,,,5.566666666666668,104.3
-18.7,,,,,,,5.660000000000002,104.32
-18.6,,,,,,,5.780000000000001,104.5
-18.5,,,,,,,5.9,104.51428571428572
-18.4,,,,,,,6,104.6
-18.3,,,,,,,6.1,104.6
-18.2,,,,,,,6.3,104.6
-18.1,,,,,,,6.4,104.6
-18,,,,,,,6.5,104.7
-17.9,,,,,,,6.624999999999998,104.7
-17.8,,,,,,,6.8,104.8
-17.7,,,,,,,6.960000000000003,104.8
-17.6,,,,,,,7.075000000000001,104.8
-17.5,,,,,,,7.224999999999998,104.8
-17.4,,,,,,,7.433333333333332,104.85
-17.3,,,,,,,7.539999999999997,104.9
-17.2,,,,,,,7.7600000000000025,104.9
-17.1,,,,,,,7.9,104.9
-17,,,,,,,8.1,104.91666666666667
-16.9,,,,,,,8.3,105
-16.8,,,,,,,8.45,105
-16.7,,,,,,,8.666666666666666,105
-16.6,,,,,,,8.88,105
-16.5,,,,,,,9.1,105
-16.4,,,,,,,9.333333333333334,105
-16.3,,,,,,,9.660000000000002,105
-16.2,,,,,,,10.060000000000002,105
-16.1,,,,,,,10.550000000000002,105
-16,,,,,,,11.1,105
-15.9,,,,,,,12.124999999999991,105
-15.8,,,,,,,13.566666666666666,105
-15.7,,,,,,,15.920000000000016,105
-15.6,,,,,,,20.899999999999967,105
-15.5,,,,,,,28.65,105
-15.4,,,,,,,38.6,105
-15.3,,,,,,,51,105
-15.2,,,,,,,63.4,104.9
-15.1,,,,,,3.1500000000000004,74.7,104.9
-15,,,,,,3.2,84.45,104.9
-14.9,,,,,,3.3,92.1,104.9
-14.8,,,,,,3.3,96.7,104.9
-14.7,,,,,,3.4,98.94999999999999,104.9
-14.6,,,,,,3.45,100.30000000000001,104.9
-14.5,,,,,,3.5,101.08000000000001,104.9
-14.4,,,,,,3.6,101.55,104.9
-14.3,,,,,,3.7,101.9,104.8
-14.2,,,,,,3.7,102.11666666666666,104.8
-14.1,,,,,,3.8,102.42,104.8
-14,,,,,,3.9,102.52,104.8
-13.9,,,,,,4,102.64,104.8
-13.8,,,,,,4.1,102.74,104.8
-13.7,,,,,,4.2,102.85,104.71666666666667
-13.6,,,,,,4.3,102.9,104.7
-13.5,,,,,,4.375000000000002,103,104.7
-13.4,,,,,,4.5,103,104.6
-13.3,,,,,,4.6,103.1,104.6
-13.2,,,,,,4.7,103.1,104.6
-13.1,,,,,,4.8,103.2,104.5
-13,,,,,,4.9,103.2,104.5
-12.9,,,,,,5.080000000000001,103.2,104.5
-12.8,,,,,,5.2,103.2,104.5
-12.7,,,,,,5.280000000000001,103.2,104.5
-12.6,,,,,,5.4,103.3,104.5
-12.5,,,,,,5.55,103.3,104.4
-12.4,,,,,,5.7,103.3,104.4
-12.3,,,,,,5.875000000000001,103.34,104.4
-12.2,,,,,,6,103.4,104.4
-12.1,,,,,,6.2,103.4,104.35
-12,,,,,,6.35,103.4,104.3
-11.9,,,,,,6.5,103.5,104.3
-11.8,,,,,,6.7,103.5,104.3
-11.7,,,,,,6.85,103.5,104.2
-11.6,,,,,,7.080000000000001,103.5,104.2
-11.5,,,,,,7.3,103.5,104.2
-11.4,,,,,,7.533333333333331,103.5,104.2
-11.3,,,,,,7.766666666666668,103.5,104.2
-11.2,,,,,,8.075000000000001,103.5,104.2
-11.1,,,,,,8.45,103.5,104.11999999999999
-11,,,,,,8.974999999999998,103.5,104.1
-10.9,,,,,,9.679999999999994,103.5,104.1
-10.8,,,,,,10.6,103.5,104.1
-10.7,,,,,,12.19999999999999,103.5,104
-10.6,,,,,,15.033333333333351,103.5,104
-10.5,,,,,,20.1,103.5,104
-10.4,,,,,,28.26666666666671,103.5,104
-10.3,,,,,,39.16666666666672,103.5,103.9
-10.2,,,,,,51.2,103.5,103.8
-10.1,,,,,,62.475000000000044,103.5,103.8
-10,,,,,1.7,73.96666666666663,103.5,103.8
-9.9,,,,,1.7,84.47500000000004,103.5,103.8
-9.8,,,,,1.8,91.50000000000003,103.5,103.8
-9.7,,,,,1.8,95.64999999999999,103.5,103.8
-9.6,,,,,1.8,97.70000000000002,103.4,103.7
-9.5,,,,,1.9,98.89999999999999,103.4,103.7
-9.4,,,,,1.9,99.65,103.4,103.7
-9.3,,,,,1.95,100.25,103.4,103.7
-9.2,,,,,2,100.53333333333333,103.4,103.6
-9.1,,,,,2.033333333333332,100.9,103.4,103.6
-9,,,,1.3,2.1,101.13333333333333,103.4,103.6
-8.9,,,,1.4,2.1,101.3,103.4,103.5
-8.8,,,,1.4,2.2,101.5,103.4,103.5
-8.7,,,,1.4,2.2,101.6,103.4,103.5
-8.6,,,,1.45,2.3,101.7,103.4,103.5
