Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=120cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,42.3,48,56,62.9,65.7
0.1,47.800000000000004,53.05,61.05,67.34,69.85
0.2,56.075,60.81999999999999,68,73,75.7
0.3,66.95,70.775,75.875,80.7,82.8
0.4,75.075,78.36,82.45,86.3,88
0.5,81.7,83.8,87.475,90.3,91.6
0.6,86.525,88.15,91.075,93.25,94.4
0.7,90.3,91.6,93.8,95.5,96.225
0.8,93.15,94.22500000000001,95.8,97.15,97.5
0.9,95.325,95.9,97.325,98.3,98.775
1,97,97.6,98.475,99.1,99.35000000000001
1.1,98.30000000000001,98.5,99.23333333333333,99.6,99.725
1.2,99.275,99.25,99.65,99.85,99.9
1.3,99.75,99.75,99.9,100,100
1.4,100,100,100,100,100
1.5,100,100,100,100,99.98
1.6,100,100,100,99.8,99.85
1.7,99.9,99.7,99.75,99.6,99.7
1.8,99.72,99.5,99.5,99.42,99.45
1.9,99.56666666666666,99.30000000000001,99.35,99.2,99.2
2,99.24000000000001,98.95,99.1,98.875,98.9
2.1,98.85000000000001,98.675,98.75,98.625,98.5
2.2,98.45,98.525,98.4,98.25,98.25
2.3,98.05,98.18333333333334,98.16666666666667,97.92500000000001,98
2.4,97.625,97.9125,97.76666666666667,97.66,97.65
2.5,97.16666666666666,97.525,97.4,97.35,97.3
2.6,96.75,97.1,97.07499999999999,97,97.05
2.7,96.2,96.65,96.75,96.65,96.65
2.8,95.75,96.34,96.475,96.4,96.3
2.9,95.36666666666666,95.96666666666667,96.22500000000001,96.05,96
3,94.9,95.58571428571429,95.76666666666667,95.8,95.72
3.1,94.5,95.23333333333333,95.475,95.45,95.43333333333334
3.2,93.95,94.93333333333334,95.05,95.1,95
3.3,93.6,94.4,94.75,94.75,94.675
3.4,93.05,94.1,94.45,94.52,94.42500000000001
3.5,92.7,93.64,94.1,94.13333333333333,94.1
3.6,92.225,93.36,93.69999999999999,93.86666666666667,93.75
3.7,91.825,93,93.4,93.475,93.5
3.8,91.4,92.54,93.05,93.22500000000001,93.15
3.9,90.8,92.1125,92.7,92.825,92.9
4,90.47999999999999,91.77499999999999,92.4,92.55,92.46666666666667
4.1,90.03333333333333,91.45,92.15,92.22500000000001,92.2
4.2,89.45,90.9625,91.71249999999999,91.675,91.75
4.3,89.02499999999999,90.57777777777777,91.33749999999999,91.42500000000001,91.5
4.4,88.625,90.34285714285714,91,91.15,91.15
4.5,88.3,89.9,90.67999999999999,90.84,90.8
