Percentage Depth Doses,,,,
Wedge 60,,,,
SSD=120cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,15x15cm2,15x40cm2
0,39.3,44.8,49.4,55.1
0.1,44.7,49.85,54.275,60.3
0.2,52.9,57.7,61.5,66.5
0.3,64.19999999999999,68.33999999999999,70.97500000000001,75.5
0.4,73.4,75.875,78.5,81.775
0.5,80.25,82.82000000000001,84.45,87.16
0.6,85.8,87.6,88.875,90.85
0.7,89.25,91.14,92.05,93.65
0.8,92.53333333333333,93.925,94.75,95.8
0.9,94.76666666666667,95.5,96.48,97.2
1,96.72500000000001,97.125,97.675,98.42
1.1,98.1,98.55,98.775,99.22857142857143
1.2,99.02499999999999,99.15,99.45,99.66250000000001
1.3,99.46666666666667,99.64999999999999,99.7,99.9
1.4,99.775,99.875,99.95,100
1.5,100,100,100,100
1.6,100,100,100,100
1.7,100,99.9,99.9,99.8
1.8,99.85,99.69999999999999,99.77499999999999,99.72
1.9,99.6,99.5,99.45,99.55
2,99.30000000000001,99.25,99.2,99.2
2.1,99,98.9,99.02857142857142,99.05
2.2,98.6,98.55,98.8,98.75
2.3,98.3,98.3,98.3125,98.35000000000001
2.4,97.85,97.875,98.05,97.95
2.5,97.25,97.6,97.69999999999999,97.7
2.6,96.8,97.325,97.4,97.4
2.7,96.5,96.96,97.08,96.98
2.8,96.14,96.525,96.7,96.7
2.9,95.65,96.16666666666667,96.4,96.4
3,95.25,95.85000000000001,96.02,96
3.1,94.65,95.38,95.71428571428571,95.7
3.2,94.25,95,95.42857142857143,95.35000000000001
3.3,93.85,94.825,95.05,94.95
3.4,93.57499999999999,94.3,94.775,94.7
3.5,93.22500000000001,93.975,94.42500000000001,94.3
3.6,92.85000000000001,93.64999999999999,93.925,94.1
3.7,92.14999999999999,93.1,93.525,93.69999999999999
3.8,91.7,92.8,93.275,93.4
3.9,91.4,92.5,92.95,93.16666666666667
4,90.8,92.05,92.6,92.8
4.1,90.35,91.76666666666667,92.2,92.4
4.2,89.9,91.46,91.94999999999999,92
4.3,89.5,91.05000000000001,91.5,91.77499999999999
4.4,89,90.6,91.19999999999999,91.525
4.5,88.75,90.26,90.8,91.15
4.6,88.3,89.93333333333334,90.475,90.75
4.7,87.94999999999999,89.65714285714286,90.18333333333334,90.42500000000001
4.8,87.52,89.26666666666667,89.80000000000001,90.1
4.9,87.125,89,89.4,89.66666666666666
5,86.45,88.56,89.15714285714286,89.36666666666667
5.1,86.14,88.05,88.83333333333333,89
5.2,85.65,87.72500000000001,88.55,88.73333333333333
5.3,85.4,87.35000000000001,88.125,88.45
5.4,84.69999999999999,86.95,87.8125,88.125
5.5,84.3,86.6,87.31111111111112,87.7
5.6,83.94999999999999,86.30000000000001,87,87.4
5.7,83.5,86,86.55,87.06666666666666
5.8,83.1,85.5,86.30000000000001,86.87142857142858
5.9,82.5625,85.1,86.05,86.58
6,82.1875,84.95,85.66666666666666,86.27499999999999
6.1,81.875,84.54,85.3,85.85
6.2,81.41111111111111,84.25,85.02,85.5
6.3,81.1,83.875,84.75,85.15
6.4,80.58571428571429,83.625,84.425,84.8
6.5,80.1,83.15,84.075,84.48
6.6,79.75,82.78,83.825,84.2
6.7,79.25,82.4,83.47500000000001,83.83333333333334
6.8,78.875,82.15,83.125,83.56
6.9,78.6,81.75,82.8,83.32
7,78.2,81.35,82.45,82.93333333333334
7.1,77.75,81.03333333333333,82.2,82.64
7.2,77.1,80.6,81.85000000000001,82.35
7.3,76.95,80.3,81.45,81.975
7.4,76.72,80.05,80.97500000000001,81.67999999999999
7.5,76.25,79.46666666666667,80.55,81.3
7.6,75.75,79.2,80.4,80.92857142857143
7.7,75.35000000000001,79,80.125,80.66666666666666
7.8,74.94,78.725,79.8,80.36666666666667
7.9,74.7,78.05,79.55,80.1
8,74.35,77.775,79.22,79.8
8.1,73.85,77.55,78.875,79.45
8.2,73.53333333333333,77.3,78.4,79.1
8.3,73.05000000000001,76.9,78.1,78.8
