Lateral Profiles,,,,,,,,,,,,,,,,,,,,,,,,,
Wedge 15,,,,,,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,,Dose[%],,,,,Dose[%],,,,,Dose[%],,,,,Dose[%],,,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:30x30 cm2,Depth:1.5 cm FieldSize:40x30 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:30x30 cm2,Depth:5 cm FieldSize:40x30 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:30x30 cm2,Depth:10 cm FieldSize:40x30 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:30x30 cm2,Depth:20 cm FieldSize:40x30 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:30x30 cm2,Depth:30 cm FieldSize:40x30 cm2
-22.9,,,,,,,,,6.4,,,,,,,,,,,,,,,,
-22.8,,,,,,,,,6.5,7.5,,,,8.666666666666668,9.8,,,,14.666666666666668,15.8,,,,21.042857142857144,22.46666666666666
-22.7,,,,,,,,,6.528571428571428,7.5875,,,,8.75,9.9,,,,14.860000000000003,16.1,,,,21.440000000000005,22.8
-22.6,,,,,,,,,6.6,7.65,,,,8.916666666666666,10.033333333333331,,,,14.95,16.3,,,,21.666666666666664,23.016666666666666
-22.5,,,,,,,,,6.728571428571428,7.7,,,,9.1,10.166666666666664,,,,15.166666666666664,16.52,,,,22,23.26666666666667
-22.4,,,,,,,,,6.862499999999999,7.85,,,,9.2,10.375000000000002,,,,15.4,16.7,,,,22.3,23.700000000000003
-22.3,,,,5.9,6.919999999999999,,,,6.9,7.9,,,,9.316666666666666,10.5,,,,15.6,16.9,,,,22.53333333333334,23.93333333333333
-22.2,,,,6,7,,,,7,8,,,,9.5,10.6,,,,15.850000000000001,17.15,,,,22.799999999999994,24.183333333333334
-22.1,,,,6.024999999999999,7.024999999999999,,,,7.1,8.1,,,,9.683333333333334,10.7625,,,,16.066666666666663,17.4,,,,23.066666666666663,24.560000000000002
-22,,,,6.1,7.1,,,,7.1800000000000015,8.2,,,,9.742857142857144,10.9125,,,,16.3,17.6,,,8.4,23.439999999999998,24.799999999999997
-21.9,,,,6.2,7.1800000000000015,,,,7.283333333333334,8.283333333333335,,,,9.95,11.085714285714287,,,,16.5,17.8,,,8.460000000000003,23.724999999999998,25.12
-21.8,,,,6.2,7.2,,,,7.380000000000002,8.4,,,,10.1,11.216666666666665,,,,16.74,18.125,,,8.639999999999997,24.075000000000003,25.4
-21.7,,,,6.324999999999998,7.333333333333332,,,,7.460000000000003,8.485714285714286,,,,10.26666666666667,11.383333333333335,,,,17.03333333333333,18.35,,,8.73333333333333,24.35,25.866666666666667
-21.6,,,,6.416666666666666,7.4,,,,7.6,8.612499999999999,,,,10.4,11.533333333333331,,,,17.283333333333335,18.53333333333333,,,8.8,24.65,26.160000000000004
-21.5,,,,6.5,7.5,,,,7.7124999999999995,8.75,,,,10.6,11.73333333333333,,,,17.48,18.783333333333335,,,8.9,25.049999999999997,26.46666666666666
