Longitudinal Profiles,,,,,
Wedge 15,,,,,
SSD=100cm,,,,,
Field Size=40x30cm2,,,,,
Scanning direction: Inline,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
,Dose[%],,,,
Off axis position [cm],Depth:1.5 cm,Depth:5 cm,Depth:10 cm,Depth:20 cm,Depth:30 cm
-34.9,,,,,11.7
-34.8,,,,,11.7
-34.7,,,,,11.811111111111114
-34.6,,,,,11.92
-34.5,,,,,12.02
-34.4,,,,,12.12
-34.3,,,,,12.219999999999999
-34.2,,,,,12.32
-34.1,,,,,12.428571428571427
-34,,,,,12.555555555555557
-33.9,,,,,12.654545454545454
-33.8,,,,,12.75
-33.7,,,,,12.850000000000001
-33.6,,,,,12.95
-33.5,,,,,13.055555555555557
-33.4,,,,,13.250000000000004
-33.3,,,,,13.4
-33.2,,,,,13.512500000000003
-33.1,,,,,13.633333333333333
-33,,,,,13.739999999999998
-32.9,,,,,13.839999999999998
-32.8,,,,,13.939999999999998
-32.7,,,,,14.039999999999997
-32.6,,,,,14.144444444444442
-32.5,,,,,14.2625
-32.4,,,,,14.439999999999998
-32.3,,,,10.014285714285716,14.569999999999999
-32.2,,,,10.1,14.669999999999998
-32.1,,,,10.2,14.77
-32,,,,10.279999999999996,14.92727272727273
-31.9,,,,10.4,15.120000000000005
-31.8,,,,10.4,15.260000000000002
-31.7,,,,10.512500000000003,15.360000000000003
-31.6,,,,10.6,15.533333333333333
-31.5,,,,10.671428571428573,15.677777777777777
-31.4,,,,10.833333333333334,15.814285714285717
-31.3,,,,10.985714285714284,15.957142857142856
-31.2,,,,11.1,16.155555555555555
-31.1,,,,11.149999999999999,16.28
-31,,,,11.2,16.4125
-30.9,,,,11.342857142857145,16.542857142857144
-30.8,,,,11.475000000000001,16.685714285714283
-30.7,,,,11.6,16.9
-30.6,,,,11.7,17.142857142857146
-30.5,,,,11.785714285714285,17.26
-30.4,,,,11.912500000000003,17.420000000000005
-30.3,,,,12,17.575000000000003
-30.2,,,,12.112500000000002,17.76
-30.1,,,,12.2375,17.96
-30,,,,12.362499999999999,18.072727272727274
-29.9,,,,12.487499999999997,18.24
-29.8,,,,12.616666666666669,18.455555555555556
-29.7,,,,12.771428571428572,18.58888888888889
-29.6,,,8.4,12.833333333333334,18.845454545454547
-29.5,,,8.48333333333333,13.071428571428566,19.077777777777776
-29.4,,,8.5,13.133333333333333,19.257142857142853
-29.3,,,8.612500000000002,13.3,19.4625
-29.2,,,8.7,13.4,19.655555555555555
-29.1,,,8.771428571428572,13.55,19.828571428571433
-29,,,8.839999999999998,13.716666666666669,20.066666666666666
-28.9,,,8.9,13.871428571428574,20.4125
-28.8,,,8.937500000000002,14.01666666666667,20.542857142857144
-28.7,,,9.071428571428573,14.18333333333333,20.77142857142857
-28.6,,,9.133333333333333,14.314285714285717,21
-28.5,,,9.214285714285715,14.514285714285709,21.228571428571428
-28.4,,,9.350000000000001,14.7,21.442857142857147
-28.3,,7.6,9.4,14.850000000000001,21.72857142857143
-28.2,,7.7,9.5,14.920000000000005,22
-28.1,,7.7,9.587499999999997,15.171428571428565,22.250000000000004
-28,,7.75,9.7,15.333333333333334,22.5
-27.9,,7.8,9.787499999999998,15.5,22.844444444444445
-27.8,,7.9,9.9,15.666666666666666,23.075000000000003
-27.7,,7.987499999999997,9.966666666666667,15.939999999999998,23.311111111111114
-27.6,,8,10.1,16.120000000000005,23.599999999999998
-27.5,,8,10.2,16.31666666666667,23.933333333333334
-27.4,,8.1,10.3,16.47142857142857,24.266666666666662
-27.3,7.328571428571427,8.2,10.4,16.642857142857146,24.569999999999993
-27.2,7.4,8.271428571428572,10.48333333333333,16.928571428571427,24.9
-27.1,7.5,8.314285714285717,10.628571428571426,17.1,25.328571428571436
-27,7.5,8.4,10.771428571428572,17.375000000000004,25.8
-26.9,7.557142857142854,8.420000000000005,10.914285714285716,17.583333333333332,26.271428571428583
-26.8,7.6,8.5,11,17.742857142857144,26.95000000000001
-26.7,7.68333333333333,8.628571428571426,11.114285714285716,18.05714285714285,27.800000000000015
-26.6,7.7,8.7,11.266666666666667,18.28571428571429,28.85
-26.5,7.8,8.8,11.4,18.550000000000004,30.275000000000023
-26.4,7.8,8.9,11.5,18.7,32.37777777777774
-26.3,7.9,8.971428571428573,11.7,18.949999999999996,35.11999999999993
-26.2,7.9,9.1,11.771428571428572,19.200000000000003,38.2
