Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 45,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:40x20 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:40x20 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:40x20 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:40x20 cm2
-17.9,,,,,,,,,,,,,,,,,,,16.516666666666666,20.416666666666664
-17.8,,,,,,,,,,,,,,,,,,,16.8,20.583333333333336
-17.7,,,,,,,,,,,,,,,,,,,17.03333333333333,20.8
-17.6,,,,,,,,,,,,,,,,,,,17.22,21.1
-17.5,,,,,,,,,,,,,,,,,,,17.4,21.433333333333337
-17.4,,,,,,,,,,,,,,,,,,,17.76,21.633333333333333
-17.3,,,,,,,,,,,,,,,,,,,17.95,21.9
-17.2,,,,,,,,,,,,,,,,,,,18.3,22.083333333333336
-17.1,,,,,,,,,,,,,,,,,,,18.439999999999998,22.5
-17,,,,,,,,,,,,,,,,,,,18.799999999999997,22.779999999999994
