Output factors,,,,,,,,
Wedge 45 R,,,,,,,,
SSD=95cm,,,,,,,,
Depth=5cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,,Field size X [cm],,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0
,3.0,0.881,0.893,0.9,0.909,0.916,0.922,0.927
,4.0,0.893,0.906,0.915,0.927,0.936,0.945,0.95
,5.0,0.901,0.916,0.927,0.939,0.951,0.962,0.969
,7.0,0.912,0.931,0.944,0.961,0.975,0.99,1.0
,10.0,0.923,0.944,0.96,0.981,1.0,1.019,1.032
,15.0,0.932,0.955,0.973,0.999,1.023,1.048,1.067
,20.0,0.937,0.962,0.982,1.01,1.038,1.068,1.091
,30.0,0.944,0.971,0.992,1.024,1.057,1.095,1.124
,40.0,0.948,0.976,0.999,1.033,1.068,1.11,1.143
