Depth [cm]	3x3cm2	4x4cm2	6x6cm2	8x8cm2	10x10cm2	20x20cm2	30x30cm2	40x40cm2
0	57.1	57.7	58.8	60.1	61.2	66.2	69.5	72.0
0.1	61.2	61.7	62.9	63.9	65.2	70.0	73.1	75.5
0.2	67.7	67.9	69.1	70.4	71.3	75.4	78.4	80.9
0.3	76.8	77.0	78.0	78.9	79.4	82.5	84.8	87.0
0.4	83.6	84.2	84.7	84.7	85.7	88.2	89.8	91.2
0.5	88.9	89.1	89.4	89.6	90.1	92.2	93.3	94.4
0.6	92.4	92.6	92.8	93.0	93.4	94.9	95.6	96.3
0.7	95.1	95.1	95.3	95.4	95.6	96.7	97.3	97.8
0.8	96.9	96.9	97.0	97.2	97.3	98.0	98.4	98.8
0.9	98.2	98.2	98.2	98.3	98.4	99.0	99.2	99.4
1	99.0	99.0	99.0	99.2	99.2	99.6	99.7	99.8
1.1	99.7	99.7	99.7	99.7	99.7	99.9	99.9	100.0
1.2	99.9	99.9	100.0	100.0	100.0	100.0	100.0	100.0
1.3	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
1.4	100.0	100.0	100.0	100.0	100.0	100.0	99.9	99.9
1.5	99.8	99.8	99.9	99.9	99.9	99.9	99.7	99.7
1.6	99.5	99.6	99.7	99.6	99.7	99.5	99.6	99.5
1.7	99.2	99.3	99.4	99.4	99.4	99.3	99.3	99.2
1.8	98.8	98.9	99.1	99.0	99.1	99.0	99.0	98.9
1.9	98.3	98.5	98.6	98.6	98.6	98.6	98.6	98.6
2	97.8	98.0	98.2	98.3	98.3	98.2	98.2	98.2
2.1	97.2	97.5	97.8	97.9	97.9	97.9	97.9	97.9
2.2	96.7	97.0	97.3	97.3	97.5	97.5	97.6	97.4
2.3	96.1	96.5	96.7	96.9	97.0	97.1	97.1	97.1
2.4	95.6	95.9	96.3	96.5	96.6	96.7	96.7	96.7
2.5	95.0	95.4	95.9	96.0	96.2	96.3	96.4	96.3
2.6	94.4	94.9	95.3	95.7	95.7	95.9	96.0	95.9
2.7	93.8	94.3	94.8	95.1	95.3	95.5	95.6	95.5
2.8	93.3	93.8	94.4	94.6	94.8	95.2	95.3	95.1
2.9	92.6	93.2	93.9	94.1	94.4	94.7	94.9	94.8
3	92.1	92.6	93.3	93.7	93.9	94.3	94.5	94.4
3.1	91.4	92.0	92.8	93.2	93.4	93.9	94.1	94.0
3.2	90.8	91.4	92.3	92.7	93.0	93.4	93.7	93.6
3.3	90.3	91.0	91.7	92.2	92.5	93.1	93.2	93.2
3.4	89.7	90.4	91.2	91.8	92.0	92.7	92.9	92.8
3.5	89.1	89.9	90.8	91.3	91.6	92.3	92.5	92.4
3.6	88.5	89.3	90.2	90.7	91.2	91.8	92.0	92.1
3.7	87.9	88.7	89.7	90.3	90.6	91.4	91.7	91.7
3.8	87.4	88.2	89.2	89.8	90.2	91.0	91.3	91.3
3.9	86.8	87.6	88.7	89.3	89.8	90.6	90.9	90.8
4	86.3	87.1	88.2	88.8	89.2	90.2	90.4	90.5
4.1	85.7	86.5	87.7	88.4	88.8	89.7	90.0	90.2
4.2	85.1	86.1	87.2	87.9	88.4	89.3	89.7	89.7
4.3	84.5	85.4	86.6	87.4	87.9	88.9	89.2	89.4
4.4	83.9	84.9	86.2	87.0	87.4	88.5	88.9	88.8
4.5	83.4	84.3	85.6	86.4	86.9	88.0	88.5	88.5
4.6	82.8	83.7	85.2	85.9	86.4	87.6	88.1	88.1
4.7	82.1	83.2	84.6	85.5	86.0	87.2	87.6	87.8
4.8	81.6	82.7	84.1	84.9	85.5	86.7	87.3	87.4
4.9	81.0	82.0	83.6	84.5	85.0	86.4	86.9	86.9
5	80.4	81.5	83.0	84.1	84.6	85.9	86.4	86.5
5.1	79.9	81.0	82.6	83.5	84.1	85.6	86.0	86.2
5.2	79.4	80.5	82.0	82.9	83.7	85.0	85.6	85.7
5.3	78.9	79.9	81.6	82.5	83.2	84.7	85.2	85.4
5.4	78.3	79.4	81.0	82.0	82.7	84.2	84.8	84.9
5.5	77.7	78.9	80.6	81.5	82.3	83.9	84.4	84.6
5.6	77.2	78.4	80.0	81.1	81.9	83.4	84.1	84.2
5.7	76.7	77.8	79.6	80.6	81.4	83.0	83.6	83.8
5.8	76.1	77.3	79.1	80.2	80.9	82.7	83.3	83.4
5.9	75.7	76.8	78.6	79.8	80.5	82.3	82.9	83.1
6	75.2	76.3	78.1	79.3	80.1	81.8	82.5	82.6
6.1	74.6	75.9	77.7	78.8	79.7	81.5	82.1	82.3
6.2	74.1	75.4	77.2	78.3	79.2	81.1	81.7	81.9
6.3	73.6	74.9	76.7	77.9	78.8	80.6	81.3	81.5
6.4	73.1	74.4	76.2	77.5	78.3	80.3	80.9	81.1
6.5	72.6	74.0	75.6	77.0	77.9	79.9	80.6	80.8
6.6	72.1	73.4	75.3	76.6	77.5	79.5	80.2	80.4
6.7	71.6	72.9	74.8	76.1	77.0	79.0	79.8	80.0
6.8	71.2	72.4	74.4	75.7	76.6	78.7	79.5	79.7
6.9	70.7	71.9	73.9	75.2	76.1	78.2	79.0	79.2
7	70.2	71.6	73.5	74.8	75.7	77.9	78.7	78.9
7.1	69.8	71.1	73.0	74.4	75.3	77.5	78.3	78.4
7.2	69.3	70.6	72.5	73.9	74.9	77.1	77.9	78.1
7.3	68.8	70.1	72.1	73.5	74.5	76.7	77.5	77.7
7.4	68.3	69.7	71.7	73.0	74.0	76.4	77.1	77.3
7.5	67.8	69.2	71.3	72.6	73.7	76.0	76.8	77.0
7.6	67.4	68.7	70.8	72.2	73.2	75.5	76.5	76.6
7.7	66.8	68.3	70.3	71.8	72.8	75.2	76.0	76.3
7.8	66.5	67.8	69.9	71.4	72.4	74.8	75.7	75.9
7.9	66.0	67.3	69.4	70.9	71.9	74.5	75.3	75.6
8	65.5	66.9	69.0	70.5	71.6	74.1	74.9	75.2
8.1	65.1	66.5	68.6	70.0	71.2	73.7	74.6	74.8
8.2	64.6	66.0	68.2	69.7	70.7	73.3	74.2	74.5
8.3	64.2	65.6	67.7	69.2	70.3	72.9	73.8	74.1
8.4	63.8	65.2	67.3	68.8	69.9	72.5	73.4	73.8
8.5	63.4	64.7	66.9	68.4	69.5	72.1	73.1	73.4
8.6	62.9	64.3	66.4	68.0	69.1	71.8	72.8	73.1
8.7	62.4	63.8	65.9	67.6	68.7	71.4	72.4	72.7
8.8	62.0	63.4	65.5	67.2	68.3	71.0	72.1	72.3
8.9	61.6	63.0	65.2	66.7	67.9	70.7	71.6	72.0
9	61.1	62.5	64.7	66.3	67.5	70.3	71.3	71.7
9.1	60.8	62.1	64.3	65.9	67.1	69.9	70.9	71.3
9.2	60.2	61.8	63.8	65.5	66.7	69.6	70.6	71.0
9.3	59.9	61.3	63.4	65.1	66.3	69.1	70.2	70.5
9.4	59.5	60.9	63.1	64.7	65.9	68.8	69.8	70.2
9.5	59.0	60.4	62.6	64.3	65.5	68.4	69.4	69.9
9.6	58.6	60.0	62.2	63.8	65.1	68.1	69.1	69.5
9.7	58.2	59.6	61.8	63.4	64.7	67.7	68.8	69.2
9.8	57.7	59.2	61.4	63.1	64.2	67.3	68.4	68.8
9.9	57.4	58.7	61.0	62.7	63.9	66.9	68.1	68.5
10	57.0	58.4	60.5	62.3	63.5	66.5	67.7	68.2
10.1	56.5	58.0	60.2	61.9	63.1	66.2	67.3	67.8
10.2	56.2	57.6	59.8	61.5	62.7	65.8	67.0	67.5
10.3	55.8	57.2	59.3	61.1	62.3	65.5	66.6	67.1
10.4	55.4	56.8	59.0	60.7	62.0	65.1	66.3	66.8
10.5	55.0	56.4	58.6	60.3	61.6	64.7	65.9	66.4
10.6	54.7	56.1	58.3	59.9	61.2	64.5	65.6	66.0
10.7	54.3	55.7	57.9	59.6	60.9	64.1	65.3	65.8
10.8	53.9	55.3	57.6	59.2	60.5	63.8	65.0	65.4
10.9	53.6	54.9	57.2	58.9	60.2	63.4	64.6	65.1
11	53.2	54.5	56.8	58.5	59.8	63.1	64.3	64.7
