Off axis position [cm]	Field Size: 40x40 cm2
-26.9	5.1
-26.8	5.2
-26.7	5.2
-26.6	5.4
-26.5	5.4
-26.4	5.5
-26.3	5.6
-26.2	5.7
-26.1	5.8
-26.0	5.8
-25.9	5.9
-25.8	6.0
-25.7	6.1
-25.6	6.2
-25.5	6.4
-25.4	6.4
-25.3	6.5
-25.2	6.7
-25.1	6.7
-25.0	6.9
-24.9	7.0
-24.8	7.1
-24.7	7.2
-24.6	7.4
-24.5	7.5
-24.4	7.6
-24.3	7.8
-24.2	7.9
-24.1	8.1
-24.0	8.3
-23.9	8.5
-23.8	8.6
-23.7	8.8
-23.6	9.0
-23.5	9.2
-23.4	9.4
-23.3	9.6
-23.2	9.8
-23.1	10.1
-23.0	10.4
-22.9	10.7
-22.8	11.1
-22.7	11.5
-22.6	12.2
-22.5	13.1
-22.4	14.7
-22.3	17.0
-22.2	20.7
-22.1	24.9
-22.0	29.8
-21.9	34.7
-21.8	39.3
-21.7	43.2
-21.6	46.0
-21.5	47.8
-21.4	49.0
-21.3	49.8
-21.2	50.4
-21.1	50.9
-21.0	51.4
-20.9	51.8
-20.8	52.2
-20.7	52.4
-20.6	52.8
-20.5	53.2
-20.4	53.4
-20.3	53.8
-20.2	54.1
-20.1	54.4
-20.0	54.6
-19.9	55.0
-19.8	55.2
-19.7	55.5
-19.6	55.8
-19.5	56.1
-19.4	56.3
-19.3	56.7
-19.2	56.9
-19.1	57.1
-19.0	57.4
-18.9	57.7
-18.8	57.9
-18.7	58.2
-18.6	58.5
-18.5	58.7
-18.4	59.0
-18.3	59.2
-18.2	59.5
-18.1	59.7
-18.0	60.0
-17.9	60.2
-17.8	60.4
-17.7	60.7
-17.6	60.9
-17.5	61.1
-17.4	61.4
-17.3	61.6
-17.2	62.0
-17.1	62.2
-17.0	62.4
-16.9	62.6
-16.8	62.9
-16.7	63.2
-16.6	63.3
-16.5	63.6
-16.4	63.8
-16.3	64.1
-16.2	64.3
-16.1	64.5
-16.0	64.7
-15.9	65.0
-15.8	65.2
-15.7	65.4
-15.6	65.6
-15.5	65.8
-15.4	65.9
-15.3	66.2
-15.2	66.4
-15.1	66.7
-15.0	66.9
-14.9	67.1
-14.8	67.5
-14.7	67.7
-14.6	68.0
-14.5	68.3
-14.4	68.6
-14.3	68.8
-14.2	69.1
-14.1	69.3
-14.0	69.5
-13.9	69.8
-13.8	70.0
-13.7	70.3
-13.6	70.5
-13.5	70.8
-13.4	71.0
-13.3	71.2
-13.2	71.5
-13.1	71.8
-13.0	71.9
-12.9	72.2
-12.8	72.4
-12.7	72.6
-12.6	72.9
-12.5	73.2
-12.4	73.4
-12.3	73.7
-12.2	73.9
-12.1	74.1
-12.0	74.4
-11.9	74.7
-11.8	74.9
-11.7	75.2
-11.6	75.4
-11.5	75.7
-11.4	76.0
-11.3	76.2
-11.2	76.4
-11.1	76.7
-11.0	77.0
-10.9	77.2
-10.8	77.5
-10.7	77.7
-10.6	77.9
-10.5	78.2
-10.4	78.4
-10.3	78.7
-10.2	79.0
-10.1	79.2
-10.0	79.5
-9.9	79.7
-9.8	79.9
-9.7	80.2
-9.6	80.4
-9.5	80.8
-9.4	81.0
-9.3	81.3
-9.2	81.5
-9.1	81.7
-9.0	81.9
-8.9	82.3
-8.8	82.5
-8.7	82.8
-8.6	83.0
-8.5	83.3
-8.4	83.6
-8.3	83.9
-8.2	84.2
-8.1	84.4
-8.0	84.6
-7.9	84.9
-7.8	85.2
-7.7	85.4
-7.6	85.6
-7.5	86.0
-7.4	86.2
-7.3	86.6
-7.2	86.8
-7.1	87.1
-7.0	87.3
-6.9	87.6
-6.8	87.8
-6.7	88.2
-6.6	88.4
-6.5	88.6
-6.4	88.9
-6.3	89.1
-6.2	89.4
-6.1	89.7
-6.0	89.9
-5.9	90.2
-5.8	90.3
-5.7	90.6
-5.6	90.9
-5.5	91.2
-5.4	91.5
-5.3	91.7
-5.2	91.9
-5.1	92.2
-5.0	92.4
-4.9	92.6
-4.8	92.9
-4.7	93.1
-4.6	93.3
-4.5	93.5
-4.4	93.7
-4.3	93.9
-4.2	94.2
-4.1	94.4
-4.0	94.7
-3.9	95.0
-3.8	95.2
-3.7	95.4
-3.6	95.7
-3.5	95.8
-3.4	96.0
-3.3	96.3
-3.2	96.4
-3.1	96.7
-3.0	96.9
-2.9	97.1
-2.8	97.2
-2.7	97.5
-2.6	97.6
-2.5	97.7
-2.4	97.9
-2.3	98.0
-2.2	98.2
-2.1	98.4
-2.0	98.6
-1.9	98.7
-1.8	98.8
-1.7	98.9
-1.6	99.1
-1.5	99.1
-1.4	99.3
-1.3	99.4
-1.2	99.5
-1.1	99.5
-1.0	99.6
-0.9	99.7
-0.8	99.7
-0.7	99.8
-0.6	99.8
-0.5	99.9
-0.4	100.0
-0.3	100.0
-0.2	100.0
-0.1	100.0
0.0	100.0
0.1	100.0
0.2	100.0
0.3	99.9
0.4	100.0
0.5	99.9
0.6	99.8
0.7	99.8
0.8	99.7
0.9	99.6
1.0	99.6
1.1	99.6
1.2	99.4
1.3	99.4
1.4	99.3
1.5	99.2
1.6	99.1
1.7	98.9
1.8	98.8
1.9	98.7
2.0	98.6
2.1	98.4
2.2	98.2
2.3	98.0
2.4	97.9
2.5	97.8
2.6	97.6
2.7	97.5
2.8	97.2
2.9	97.1
3.0	96.9
3.1	96.7
3.2	96.5
3.3	96.3
3.4	96.1
3.5	95.9
3.6	95.7
3.7	95.4
3.8	95.2
3.9	95.0
4.0	94.8
4.1	94.4
4.2	94.3
4.3	94.0
4.4	93.7
4.5	93.5
4.6	93.4
4.7	93.1
4.8	93.0
4.9	92.7
5.0	92.4
5.1	92.2
5.2	92.0
5.3	91.7
5.4	91.4
5.5	91.2
5.6	90.9
5.7	90.6
5.8	90.3
5.9	90.2
6.0	89.8
6.1	89.7
6.2	89.4
6.3	89.1
6.4	88.9
6.5	88.6
6.6	88.4
6.7	88.1
6.8	87.8
6.9	87.6
7.0	87.3
7.1	87.0
7.2	86.8
7.3	86.5
7.4	86.2
7.5	86.0
7.6	85.6
7.7	85.4
7.8	85.2
7.9	84.9
8.0	84.6
8.1	84.4
8.2	84.2
8.3	83.8
8.4	83.6
8.5	83.4
8.6	83.0
8.7	82.8
8.8	82.6
8.9	82.3
9.0	82.0
9.1	81.7
9.2	81.5
9.3	81.3
9.4	81.0
9.5	80.8
9.6	80.4
9.7	80.2
9.8	80.0
9.9	79.7
10.0	79.4
10.1	79.2
10.2	79.0
10.3	78.7
10.4	78.5
10.5	78.2
10.6	77.9
10.7	77.7
10.8	77.5
10.9	77.3
11.0	76.9
11.1	76.7
11.2	76.5
11.3	76.2
11.4	76.0
11.5	75.7
11.6	75.4
11.7	75.2
11.8	74.9
11.9	74.7
12.0	74.4
12.1	74.1
12.2	73.9
12.3	73.6
12.4	73.4
12.5	73.1
12.6	73.0
12.7	72.6
12.8	72.4
12.9	72.2
13.0	71.9
13.1	71.7
13.2	71.5
13.3	71.3
13.4	71.0
13.5	70.8
13.6	70.5
13.7	70.2
13.8	70.0
13.9	69.8
14.0	69.6
14.1	69.3
14.2	69.1
14.3	68.8
14.4	68.5
14.5	68.3
14.6	68.0
14.7	67.7
14.8	67.5
14.9	67.2
15.0	66.9
15.1	66.7
15.2	66.5
15.3	66.1
15.4	65.9
15.5	65.8
15.6	65.6
15.7	65.4
15.8	65.2
15.9	64.9
16.0	64.7
16.1	64.4
16.2	64.3
16.3	64.0
16.4	63.9
16.5	63.6
16.6	63.4
16.7	63.2
16.8	63.0
16.9	62.7
17.0	62.4
17.1	62.1
17.2	61.9
17.3	61.7
17.4	61.5
17.5	61.2
17.6	60.9
17.7	60.7
17.8	60.5
17.9	60.2
18.0	60.0
18.1	59.7
18.2	59.5
18.3	59.3
18.4	58.9
18.5	58.7
18.6	58.4
18.7	58.2
18.8	57.9
18.9	57.7
19.0	57.4
19.1	57.2
19.2	56.9
19.3	56.6
19.4	56.4
19.5	56.1
19.6	55.9
19.7	55.5
19.8	55.3
19.9	54.9
20.0	54.7
20.1	54.4
20.2	54.1
20.3	53.7
20.4	53.5
20.5	53.1
20.6	52.8
20.7	52.5
20.8	52.1
20.9	51.8
21.0	51.3
21.1	50.9
21.2	50.4
21.3	49.8
